cohort,batch,i,minp_below_001
TGCT,0,0,50
TGCT,0,1,75
TGCT,0,2,167
TGCT,0,3,94
TGCT,0,4,859
TGCT,0,5,21
TGCT,0,6,11
TGCT,0,7,688
TGCT,0,8,96
TGCT,0,9,74
TGCT,1,0,124
TGCT,1,1,53
TGCT,1,2,307
TGCT,1,3,225
TGCT,1,4,101
TGCT,1,5,42
TGCT,1,6,246
TGCT,1,7,404
TGCT,1,8,306
TGCT,1,9,49
TGCT,2,0,181
TGCT,2,1,25
TGCT,2,2,1051
TGCT,2,3,325
TGCT,2,4,187
TGCT,2,5,117
TGCT,2,6,315
TGCT,2,7,67
TGCT,2,8,69
TGCT,2,9,1737
TGCT,3,0,25
TGCT,3,1,160
TGCT,3,2,76
TGCT,3,3,1379
TGCT,3,4,58
TGCT,3,5,18
TGCT,3,6,80
TGCT,3,7,189
TGCT,3,8,845
TGCT,3,9,28
TGCT,4,0,82
TGCT,4,1,62
TGCT,4,2,139
TGCT,4,3,2246
TGCT,4,4,721
TGCT,4,5,97
TGCT,4,6,654
TGCT,4,7,46
TGCT,4,8,117
TGCT,4,9,59
TGCT,5,0,169
TGCT,5,1,829
TGCT,5,2,262
TGCT,5,3,449
TGCT,5,4,42
TGCT,5,5,96
TGCT,5,6,186
TGCT,5,7,35
TGCT,5,8,169
TGCT,5,9,24
TGCT,6,0,521
TGCT,6,1,434
TGCT,6,2,224
TGCT,6,3,58
TGCT,6,4,49
TGCT,6,5,163
TGCT,6,6,82
TGCT,6,7,69
TGCT,6,8,43
TGCT,6,9,125
TGCT,7,0,12
TGCT,7,1,430
TGCT,7,2,261
TGCT,7,3,103
TGCT,7,4,57
TGCT,7,5,226
TGCT,7,6,83
TGCT,7,7,48
TGCT,7,8,18
TGCT,7,9,241
TGCT,8,0,53
TGCT,8,1,235
TGCT,8,2,535
TGCT,8,3,57
TGCT,8,4,61
TGCT,8,5,89
TGCT,8,6,133
TGCT,8,7,24
TGCT,8,8,37
TGCT,8,9,156
TGCT,9,0,936
TGCT,9,1,60
TGCT,9,2,82
TGCT,9,3,27
TGCT,9,4,97
TGCT,9,5,163
TGCT,9,6,44
TGCT,9,7,48
TGCT,9,8,64
TGCT,9,9,784
TGCT,10,0,617
TGCT,10,1,26
TGCT,10,2,104
TGCT,10,3,150
TGCT,10,4,69
TGCT,10,5,41
TGCT,10,6,163
TGCT,10,7,70
TGCT,10,8,96
TGCT,10,9,55
TGCT,11,0,89
TGCT,11,1,60
TGCT,11,2,164
TGCT,11,3,31
TGCT,11,4,101
TGCT,11,5,317
TGCT,11,6,23
TGCT,11,7,231
TGCT,11,8,1361
TGCT,11,9,489
TGCT,12,0,75
TGCT,12,1,158
TGCT,12,2,792
TGCT,12,3,54
TGCT,12,4,251
TGCT,12,5,105
TGCT,12,6,47
TGCT,12,7,29
TGCT,12,8,78
TGCT,12,9,39
TGCT,13,0,151
TGCT,13,1,49
TGCT,13,2,114
TGCT,13,3,121
TGCT,13,4,555
TGCT,13,5,15
TGCT,13,6,157
TGCT,13,7,161
TGCT,13,8,385
TGCT,13,9,99
TGCT,14,0,245
TGCT,14,1,33
TGCT,14,2,716
TGCT,14,3,75
TGCT,14,4,314
TGCT,14,5,189
TGCT,14,6,238
TGCT,14,7,44
TGCT,14,8,168
TGCT,14,9,43
TGCT,15,0,56
TGCT,15,1,36
TGCT,15,2,75
TGCT,15,3,63
TGCT,15,4,651
TGCT,15,5,217
TGCT,15,6,208
TGCT,15,7,101
TGCT,15,8,57
TGCT,15,9,213
TGCT,16,0,162
TGCT,16,1,169
TGCT,16,2,546
TGCT,16,3,241
TGCT,16,4,259
TGCT,16,5,264
TGCT,16,6,126
TGCT,16,7,317
TGCT,16,8,148
TGCT,16,9,28
TGCT,17,0,278
TGCT,17,1,20
TGCT,17,2,176
TGCT,17,3,112
TGCT,17,4,64
TGCT,17,5,73
TGCT,17,6,59
TGCT,17,7,119
TGCT,17,8,550
TGCT,17,9,18
TGCT,18,0,56
TGCT,18,1,44
TGCT,18,2,75
TGCT,18,3,9
TGCT,18,4,147
TGCT,18,5,114
TGCT,18,6,78
TGCT,18,7,215
TGCT,18,8,203
TGCT,18,9,40
TGCT,19,0,74
TGCT,19,1,59
TGCT,19,2,308
TGCT,19,3,41
TGCT,19,4,419
TGCT,19,5,46
TGCT,19,6,79
TGCT,19,7,171
TGCT,19,8,347
TGCT,19,9,101
