cohort,batch,i,minp_below_001
THCA,0,0,146
THCA,0,1,54
THCA,0,2,100
THCA,0,3,83
THCA,0,4,31
THCA,0,5,29
THCA,0,6,355
THCA,0,7,131
THCA,0,8,35
THCA,0,9,46
THCA,1,0,53
THCA,1,1,56
THCA,1,2,598
THCA,1,3,30
THCA,1,4,1378
THCA,1,5,72
THCA,1,6,218
THCA,1,7,871
THCA,1,8,173
THCA,1,9,350
THCA,2,0,68
THCA,2,1,850
THCA,2,2,77
THCA,2,3,14
THCA,2,4,232
THCA,2,5,104
THCA,2,6,70
THCA,2,7,70
THCA,2,8,886
THCA,2,9,157
THCA,3,0,93
THCA,3,1,524
THCA,3,2,131
THCA,3,3,99
THCA,3,4,249
THCA,3,5,971
THCA,3,6,172
THCA,3,7,93
THCA,3,8,80
THCA,3,9,97
THCA,4,0,81
THCA,4,1,23
THCA,4,2,48
THCA,4,3,597
THCA,4,4,1353
THCA,4,5,83
THCA,4,6,934
THCA,4,7,25
THCA,4,8,116
THCA,4,9,262
THCA,5,0,68
THCA,5,1,91
THCA,5,2,712
THCA,5,3,233
THCA,5,4,136
THCA,5,5,24
THCA,5,6,79
THCA,5,7,51
THCA,5,8,87
THCA,5,9,76
THCA,6,0,89
THCA,6,1,278
THCA,6,2,179
THCA,6,3,197
THCA,6,4,188
THCA,6,5,222
THCA,6,6,260
THCA,6,7,91
THCA,6,8,61
THCA,6,9,15
THCA,7,0,101
THCA,7,1,27
THCA,7,2,150
THCA,7,3,33
THCA,7,4,192
THCA,7,5,174
THCA,7,6,401
THCA,7,7,87
THCA,7,8,50
THCA,7,9,384
THCA,8,0,29
THCA,8,1,37
THCA,8,2,96
THCA,8,3,70
THCA,8,4,18
THCA,8,5,1060
THCA,8,6,425
THCA,8,7,225
THCA,8,8,41
THCA,8,9,535
THCA,9,0,78
THCA,9,1,15
THCA,9,2,138
THCA,9,3,864
THCA,9,4,151
THCA,9,5,330
THCA,9,6,638
THCA,9,7,95
THCA,9,8,71
THCA,9,9,116
THCA,10,0,498
THCA,10,1,36
THCA,10,2,65
THCA,10,3,84
THCA,10,4,225
THCA,10,5,108
THCA,10,6,53
THCA,10,7,378
THCA,10,8,409
THCA,10,9,82
THCA,11,0,164
THCA,11,1,22
THCA,11,2,228
THCA,11,3,78
THCA,11,4,1268
THCA,11,5,377
THCA,11,6,40
THCA,11,7,132
THCA,11,8,29
THCA,11,9,254
THCA,12,0,69
THCA,12,1,104
THCA,12,2,19
THCA,12,3,176
THCA,12,4,64
THCA,12,5,59
THCA,12,6,33
THCA,12,7,231
THCA,12,8,93
THCA,12,9,3900
THCA,13,0,276
THCA,13,1,235
THCA,13,2,62
THCA,13,3,136
THCA,13,4,27
THCA,13,5,53
THCA,13,6,129
THCA,13,7,936
THCA,13,8,569
THCA,13,9,98
THCA,14,0,133
THCA,14,1,127
THCA,14,2,103
THCA,14,3,336
THCA,14,4,56
THCA,14,5,22
THCA,14,6,56
THCA,14,7,93
THCA,14,8,96
THCA,14,9,26
THCA,15,0,419
THCA,15,1,180
THCA,15,2,120
THCA,15,3,182
THCA,15,4,144
THCA,15,5,37
THCA,15,6,215
THCA,15,7,328
THCA,15,8,448
THCA,15,9,141
THCA,16,0,58
THCA,16,1,61
THCA,16,2,180
THCA,16,3,59
THCA,16,4,42
THCA,16,5,73
THCA,16,6,75
THCA,16,7,23
THCA,16,8,79
THCA,16,9,41
THCA,17,0,155
THCA,17,1,94
THCA,17,2,36
THCA,17,3,84
THCA,17,4,197
THCA,17,5,44
THCA,17,6,299
THCA,17,7,157
THCA,17,8,588
THCA,17,9,223
THCA,18,0,508
THCA,18,1,125
THCA,18,2,42
THCA,18,3,189
THCA,18,4,38
THCA,18,5,37
THCA,18,6,102
THCA,18,7,201
THCA,18,8,57
THCA,18,9,146
THCA,19,0,212
THCA,19,1,387
THCA,19,2,45
THCA,19,3,36
THCA,19,4,143
THCA,19,5,33
THCA,19,6,80
THCA,19,7,267
THCA,19,8,45
THCA,19,9,1538
