cohort,batch,i,minp_below_001
UCEC,0,0,206
UCEC,0,1,63
UCEC,0,2,114
UCEC,0,3,124
UCEC,0,4,118
UCEC,0,5,298
UCEC,0,6,244
UCEC,0,7,117
UCEC,0,8,365
UCEC,0,9,261
UCEC,1,0,408
UCEC,1,1,136
UCEC,1,2,156
UCEC,1,3,62
UCEC,1,4,143
UCEC,1,5,84
UCEC,1,6,132
UCEC,1,7,159
UCEC,1,8,303
UCEC,1,9,69
UCEC,2,0,73
UCEC,2,1,182
UCEC,2,2,259
UCEC,2,3,99
UCEC,2,4,58
UCEC,2,5,123
UCEC,2,6,127
UCEC,2,7,332
UCEC,2,8,80
UCEC,2,9,117
UCEC,3,0,476
UCEC,3,1,232
UCEC,3,2,39
UCEC,3,3,126
UCEC,3,4,195
UCEC,3,5,227
UCEC,3,6,100
UCEC,3,7,56
UCEC,3,8,53
UCEC,3,9,79
UCEC,4,0,177
UCEC,4,1,94
UCEC,4,2,377
UCEC,4,3,250
UCEC,4,4,78
UCEC,4,5,42
UCEC,4,6,74
UCEC,4,7,175
UCEC,4,8,165
UCEC,4,9,170
UCEC,5,0,131
UCEC,5,1,118
UCEC,5,2,136
UCEC,5,3,53
UCEC,5,4,167
UCEC,5,5,69
UCEC,5,6,172
UCEC,5,7,110
UCEC,5,8,286
UCEC,5,9,116
UCEC,6,0,375
UCEC,6,1,189
UCEC,6,2,62
UCEC,6,3,165
UCEC,6,4,213
UCEC,6,5,54
UCEC,6,6,349
UCEC,6,7,355
UCEC,6,8,256
UCEC,6,9,138
UCEC,7,0,385
UCEC,7,1,169
UCEC,7,2,113
UCEC,7,3,150
UCEC,7,4,73
UCEC,7,5,86
UCEC,7,6,126
UCEC,7,7,360
UCEC,7,8,265
UCEC,7,9,319
UCEC,8,0,125
UCEC,8,1,71
UCEC,8,2,130
UCEC,8,3,90
UCEC,8,4,120
UCEC,8,5,204
UCEC,8,6,114
UCEC,8,7,123
UCEC,8,8,85
UCEC,8,9,87
UCEC,9,0,103
UCEC,9,1,99
UCEC,9,2,42
UCEC,9,3,140
UCEC,9,4,209
UCEC,9,5,122
UCEC,9,6,80
UCEC,9,7,79
UCEC,9,8,67
UCEC,9,9,61
UCEC,10,0,91
UCEC,10,1,517
UCEC,10,2,75
UCEC,10,3,69
UCEC,10,4,129
UCEC,10,5,278
UCEC,10,6,116
UCEC,10,7,268
UCEC,10,8,93
UCEC,10,9,90
UCEC,11,0,130
UCEC,11,1,70
UCEC,11,2,178
UCEC,11,3,233
UCEC,11,4,186
UCEC,11,5,275
UCEC,11,6,125
UCEC,11,7,42
UCEC,11,8,85
UCEC,11,9,247
UCEC,12,0,39
UCEC,12,1,314
UCEC,12,2,97
UCEC,12,3,119
UCEC,12,4,105
UCEC,12,5,501
UCEC,12,6,99
UCEC,12,7,1868
UCEC,12,8,165
UCEC,12,9,76
UCEC,13,0,348
UCEC,13,1,98
UCEC,13,2,74
UCEC,13,3,86
UCEC,13,4,111
UCEC,13,5,258
UCEC,13,6,68
UCEC,13,7,268
UCEC,13,8,1057
UCEC,13,9,177
UCEC,14,0,149
UCEC,14,1,161
UCEC,14,2,289
UCEC,14,3,228
UCEC,14,4,167
UCEC,14,5,375
UCEC,14,6,63
UCEC,14,7,118
UCEC,14,8,82
UCEC,14,9,430
UCEC,15,0,92
UCEC,15,1,62
UCEC,15,2,177
UCEC,15,3,733
UCEC,15,4,171
UCEC,15,5,97
UCEC,15,6,663
UCEC,15,7,325
UCEC,15,8,83
UCEC,15,9,331
UCEC,16,0,164
UCEC,16,1,150
UCEC,16,2,263
UCEC,16,3,184
UCEC,16,4,119
UCEC,16,5,113
UCEC,16,6,63
UCEC,16,7,70
UCEC,16,8,551
UCEC,16,9,181
UCEC,17,0,700
UCEC,17,1,182
UCEC,17,2,292
UCEC,17,3,103
UCEC,17,4,149
UCEC,17,5,101
UCEC,17,6,1135
UCEC,17,7,94
UCEC,17,8,324
UCEC,17,9,89
UCEC,18,0,113
UCEC,18,1,127
UCEC,18,2,61
UCEC,18,3,231
UCEC,18,4,62
UCEC,18,5,107
UCEC,18,6,311
UCEC,18,7,102
UCEC,18,8,202
UCEC,18,9,51
UCEC,19,0,405
UCEC,19,1,219
UCEC,19,2,71
UCEC,19,3,475
UCEC,19,4,68
UCEC,19,5,104
UCEC,19,6,82
UCEC,19,7,105
UCEC,19,8,129
UCEC,19,9,352
