cohort,events,permutations,observed_minp,null_mean,null_median,null_p05,null_p95,null_max,p_global_minp,observed_cox,cox_null_mean,cox_null_p95,cox_null_max,p_global_cox,cox_bh_any_under_null,cox_bh_null_max
BLCA,169,200,511,244.3,193,90,509,921,0.0547,77,15.8,61,149,0.0348,0.045,3
BRCA,140,200,724,213.9,163,65,490,1362,0.0249,110,14.1,45,248,0.0199,0.02,111
CESC,67,200,927,211.1,156,71,604,1335,0.0199,165,15.5,46,191,0.0149,0.135,17
COAD,61,200,336,200.5,164,56,468,1515,0.1194,18,14.4,57,323,0.1791,0.075,429
GBM,112,200,389,249.3,169,63,667,2196,0.1542,89,15.1,58,305,0.0299,0.035,497
HNSC,212,200,893,205.5,153,63,523,1180,0.0199,237,16.0,50,732,0.0149,0.03,2299
KICH,9,200,1284,163.9,106,36,476,1438,0.01,220,17.6,59,154,0.005,0.975,50
KIRC,171,200,7563,207.3,144,46,548,3163,0.005,4767,12.1,39,698,0.005,0.015,3534
KIRP,44,200,1811,229.4,151,51,628,1165,0.005,570,19.7,71,227,0.005,0.33,50
LIHC,129,200,3449,167.4,120,41,452,1308,0.005,1466,9.4,41,155,0.005,0.02,1
LUAD,180,200,1507,229.1,183,72,547,1813,0.01,472,15.5,47,364,0.005,0.025,700
LUSC,210,200,286,217.3,163,64,498,1431,0.2239,11,15.4,56,359,0.2935,0.055,463
OV,216,200,362,232.3,171,79,675,1097,0.1443,12,14.4,63,186,0.2985,0.035,12
PAAD,92,200,1486,255.1,159,46,808,2676,0.0149,1026,18.3,83,561,0.005,0.03,1926
PRAD,9,200,177,161.5,102,37,473,1778,0.2786,32,13.1,44,160,0.0945,0.955,85
READ,16,200,567,212.3,156,62,543,1548,0.0498,23,18.9,68,371,0.2239,0.095,550
SKCM,28,200,253,200.9,134,51,513,2292,0.204,10,16.2,39,710,0.3284,0.25,1885
STAD,140,200,335,218.7,156,59,590,1482,0.1443,19,12.4,43,219,0.1692,0.015,60
TGCT,4,200,22,210.6,102,23,784,2246,0.9552,23,63.1,177,1079,0.7562,1.0,1325
THCA,16,200,397,225.0,101,24,871,3900,0.1443,41,22.9,67,867,0.0945,0.08,4363
UCEC,32,200,227,191.7,128,57,475,1868,0.2736,20,15.2,42,191,0.194,0.385,25
