cohort,events,alpha_permutation,alpha_formula,ratio_perm_to_formula,median_ratio_pcal_to_formula_below_01,hpa_prognostic,pass_bh05_permutation,pass_bh05_formula
BLCA,169,0.01622,0.01688,0.96,0.9,511,0,7
BRCA,140,0.01725,0.01688,1.02,0.98,724,2,15
CESC,67,0.01318,0.01688,0.78,0.8,927,7,31
COAD,61,0.01666,0.01688,0.99,0.94,336,0,1
GBM,112,0.01719,0.01688,1.02,0.93,389,0,2
HNSC,212,0.01543,0.01688,0.91,0.91,893,25,34
KICH,9,0.0135,0.01688,0.8,0.73,1284,95,324
KIRC,171,0.01578,0.01688,0.94,0.97,7563,7563,7563
KIRP,44,0.01342,0.01688,0.8,0.8,1811,1058,956
LIHC,129,0.01354,0.01688,0.8,0.83,3449,3428,3117
LUAD,180,0.01587,0.01688,0.94,0.93,1507,326,368
LUSC,210,0.015,0.01688,0.89,0.9,286,0,0
OV,216,0.01418,0.01688,0.84,0.84,362,0,0
PAAD,92,0.0159,0.01688,0.94,0.9,1486,0,32
PRAD,9,0.01285,0.01688,0.76,0.7,177,0,0
READ,16,0.0157,0.01688,0.93,0.83,567,0,0
SKCM,28,0.01342,0.01688,0.8,0.76,253,0,1
STAD,140,0.01509,0.01688,0.89,0.89,335,0,0
TGCT,4,0.01248,0.01688,0.74,0.53,22,0,0
THCA,16,0.01398,0.01688,0.83,0.8,397,0,0
UCEC,32,0.0133,0.01688,0.79,0.77,227,0,0
