cohort,events,genes,null_draws,ratio_at_0.001,ratio_at_0.0001,ratio_at_1e-05,ratio_at_3.6e-06,ratio_at_1e-06,min_p
TGCT,4,15235,3047000,4.69,31.6,297.44,822.03,2951.76,0.0
PRAD,9,13957,2791400,1.4,2.68,17.77,47.77,169.81,0.0
KICH,9,13287,2657400,1.41,3.77,26.87,73.28,260.03,0.0
THCA,16,13699,2739800,0.96,0.85,0.66,1.22,2.55,0.0
READ,16,13606,2721200,1.02,0.85,0.92,1.22,2.2,0.0
SKCM,28,13873,2774600,1.18,1.37,2.49,4.0,12.97,0.0
UCEC,32,14824,2964800,1.23,1.62,5.19,12.27,42.16,0.0
KIRP,44,14182,2836400,0.9,1.14,5.75,14.98,53.59,0.0
COAD,61,13701,2740200,1.11,1.04,1.53,2.43,5.11,0.0
CESC,67,14505,2901000,1.3,1.64,2.17,3.16,7.24,0.0
PAAD,92,14584,2916800,1.16,1.07,0.75,0.57,0.34,5.152241749182097e-07
GBM,112,14427,2885400,1.1,1.1,0.62,0.77,0.35,5.184967546876278e-07
LIHC,129,12913,2582600,1.49,2.0,2.36,2.8,3.1,1.14765595094597e-07
BRCA,140,14589,2917800,1.14,1.17,0.89,0.29,0.34,9.951934863098333e-07
STAD,140,14750,2950000,0.76,0.56,0.27,0.47,0.34,9.169651659712155e-07
BLCA,169,14596,2919200,1.19,1.29,1.64,1.71,1.71,0.0
KIRC,171,14203,2840600,0.73,0.64,0.6,0.49,1.06,4.896878254530624e-07
LUAD,180,14753,2950600,0.93,0.97,0.92,0.85,0.0,1.1091507604426668e-06
LUSC,210,14599,2919800,0.91,0.86,1.03,0.95,1.37,1.6659187220207768e-07
HNSC,212,13903,2780600,0.96,0.81,0.76,0.7,0.36,7.014195579671945e-07
OV,216,14335,2867000,0.82,0.67,0.31,0.29,0.35,2.0276822799025564e-07
