cohort,events,permutations,observed_minp,null_max,p_global_minp,bh_q,bh_pass,bonferroni,observed_above_null_max
KIRC,171,200,7563,3163,0.005,0.035,True,unresolved,True
KIRP,44,200,1811,1165,0.005,0.035,True,unresolved,True
LIHC,129,200,3449,1308,0.005,0.035,True,unresolved,True
LUAD,180,200,1507,1813,0.01,0.0368,True,unresolved,False
KICH,9,200,1284,1438,0.01,0.0368,True,unresolved,False
CESC,67,2000,927,2314,0.0105,0.0368,True,fail,False
PAAD,92,200,1486,2676,0.0149,0.0447,True,unresolved,False
HNSC,212,2000,893,3008,0.02,0.0525,False,fail,False
BRCA,140,2000,724,1517,0.0275,0.0642,False,fail,False
READ,16,2000,567,1943,0.042,0.0882,False,fail,False
BLCA,169,2000,511,2514,0.0615,0.1174,False,fail,False
COAD,61,2000,336,1785,0.1259,0.202,False,fail,False
GBM,112,2000,389,2427,0.1384,0.202,False,fail,False
OV,216,200,362,1097,0.1443,0.202,False,fail,False
THCA,16,200,397,3900,0.1443,0.202,False,fail,False
STAD,140,2000,335,1673,0.1554,0.204,False,fail,False
SKCM,28,200,253,2292,0.204,0.252,False,fail,False
LUSC,210,200,286,1431,0.2239,0.2612,False,fail,False
UCEC,32,200,227,1868,0.2736,0.2925,False,fail,False
PRAD,9,200,177,1778,0.2786,0.2925,False,fail,False
TGCT,4,200,22,2246,0.9552,0.9552,False,fail,False
