Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.32391605820964553,0.49077697455984315
ENSG00000198692,0.9140743123997903,0.7956800437612273
ENSG00000012817,0.8744156504957694,0.5739601913188666
ENSG00000172468,0.6959280403350223,0.7802693738284872
ENSG00000129824,0.8278042293315941,0.8485092660479632
ENSG00000067646,0.678547544819329,0.3920092220121232
ENSG00000067048,0.45500220075106257,0.7155439053815029
ENSG00000183878,0.9349552383267326,0.6561560264782115
ENSG00000154620,0.6693511666807404,0.8736754542689344
ENSG00000165246,0.985620025567261,0.6361762416872796
ENSG00000233803,0.8250612049921244,0.8659200972245622
ENSG00000101282,0.5607233933168463,0.4964465463213794
ENSG00000101280,0.003706643522155632,0.0015662691774122402
ENSG00000089012,0.2096783892666871,0.28623089550976677
ENSG00000171984,0.5724015294159859,0.6851997293085921
ENSG00000125827,0.7188123345071726,0.7219161250153979
ENSG00000149346,0.07657783437163453,0.1361683132517162
ENSG00000125845,0.30817768356495,0.43578960760599905
ENSG00000125898,0.5601907924083733,0.5910760449617282
ENSG00000173404,0.6352409777314743,0.7011526003508262
ENSG00000125788,0.318820506525167,0.6423651352153623
ENSG00000132640,0.05337521211287409,0.06541922219987015
ENSG00000089063,0.3207001950808032,0.4636706724923991
ENSG00000088876,0.08926237278095273,0.051847635371049
ENSG00000101230,0.35791683666673035,0.21383951930906098
ENSG00000170367,0.4314461349478794,0.5258138893371631
ENSG00000284776,0.06874897781881963,0.03940320305827648
ENSG00000101463,0.3122946534632453,0.16667230913660053
ENSG00000088930,0.2577333989526815,0.2659084194942574
ENSG00000125870,0.12093009023907046,0.09586688792743432
ENSG00000077984,0.36425635530594713,0.3201744814270203
ENSG00000101474,0.7142306693613434,0.799819754383482
ENSG00000125864,0.22083289167652914,0.2769262980813805
ENSG00000170369,0.6142199551318795,0.4518062802284796
ENSG00000125868,0.1433653456472524,0.08824741820426538
ENSG00000125834,0.502027582661109,0.7497604247410719
ENSG00000198646,0.3072983290126017,0.3710404522917594
ENSG00000172296,0.3018932139986761,0.42839842328097055
ENSG00000131069,0.015384854314588248,0.009832523244202931
ENSG00000078804,0.2085077907746218,0.18072281990894687
ENSG00000101384,0.8664397396940552,0.9908629536114129
ENSG00000089057,0.35344729744644776,0.3991854721345075
ENSG00000089123,0.15098309999440004,0.14910483475924982
ENSG00000132792,0.129195906925536,0.07187084305114265
ENSG00000149639,0.5516853710064309,0.6448027929484151
ENSG00000101445,0.07253667347169342,0.06783916354985776
ENSG00000149633,0.08048687825316297,0.025823799436284916
ENSG00000101452,0.17560330604014895,0.10072760163017991
ENSG00000124191,0.20098330517180335,0.16256770414181315
ENSG00000064655,0.14963429480873977,0.13580498407701533
ENSG00000062598,0.7725066970435155,0.82208455947386
ENSG00000198959,0.24011176999558964,0.16765315253950627
ENSG00000042062,0.14118374144336748,0.09266131035492231
ENSG00000158480,0.17681520285389363,0.23498569153622326
ENSG00000101447,0.7252851550655417,0.8604894642005605
ENSG00000197496,0.03442108243485351,0.01273816372403562
ENSG00000124249,0.22431008796304297,0.13550328086251254
ENSG00000124226,0.6362489255312405,0.4373931729182803
ENSG00000080189,0.43092644328326524,0.5871829961303363
ENSG00000198768,0.1978432258802593,0.28954510190061067
ENSG00000088298,0.49606950355152435,0.3646762027717455
ENSG00000124151,0.5982129427130918,0.8438637978436986
ENSG00000124126,0.09943171535788403,0.1320598150627155
ENSG00000124212,0.03019206414677673,0.008245489071821304
ENSG00000182621,0.10956964537250577,0.11997603836661805
ENSG00000054793,0.0356259870253823,0.025826531213582332
ENSG00000125970,0.2844609156228974,0.28108988684277253
ENSG00000124216,0.19671736446213048,0.19446991593449572
ENSG00000101194,0.8711202956615463,0.9078832035123436
ENSG00000132825,0.2343389247765466,0.273896514599305
ENSG00000101132,0.14357989416572906,0.19709790714968814
ENSG00000101182,0.35756832823285456,0.22394085457396745
ENSG00000124215,0.49656868530849485,0.5723119582845385
ENSG00000197586,0.7760316808559333,0.5938972975934251
ENSG00000130701,0.0831329374140543,0.06271776409915145
ENSG00000101439,0.748240742539698,0.8280580834351641
ENSG00000101193,0.2214239314084357,0.38671960346659384
ENSG00000124225,0.4726206178569976,0.4969738695073245
ENSG00000101365,0.46545834782790785,0.3990621883135519
ENSG00000124164,0.8768694969021817,0.9735521138580691
ENSG00000182463,0.07072402019657627,0.06579238704996235
ENSG00000132821,0.7115706081167146,0.8004400201416573
ENSG00000125977,0.02976524519470108,0.027045387656702287
ENSG00000203883,0.2924038702842336,0.23676927308006243
ENSG00000154930,0.014129762105181064,0.01761420693152873
ENSG00000101134,0.17080524358963453,0.05819172400273838
ENSG00000158470,0.1326371600039111,0.20490680781904302
ENSG00000020256,0.8883295195826632,0.879497700199363
ENSG00000101115,0.7575198519994367,0.5947371600719749
ENSG00000101144,0.4547068565015392,0.37943231646716435
ENSG00000101407,0.9800068486731244,0.7335054038329025
ENSG00000101079,0.1497555688358314,0.26395211147900816
ENSG00000171858,0.08505229991090493,0.0489286059570006
ENSG00000087510,0.2515854760149058,0.2251216430633767
ENSG00000184402,0.04626994634986192,0.09463022340367996
ENSG00000101361,0.04532600874222551,0.035074126867651184
ENSG00000101096,0.7988123252115664,0.5763113693216175
ENSG00000196074,0.48578208287437663,0.5868237129032284
ENSG00000130702,0.16202317110773456,0.2010711167189547
ENSG00000149657,0.2912706627899596,0.426051237148547
ENSG00000087495,0.3143573522876125,0.5437001702422277
ENSG00000171703,0.4703253107635621,0.3251120860201367
ENSG00000130700,0.009319859583185762,0.003703961555994715
ENSG00000129988,0.2802059905286076,0.40579491102076914
ENSG00000196227,0.2253027909404443,0.3101997913414741
ENSG00000080839,0.6561236624427025,0.5385264644015938
ENSG00000124209,0.07813572940978594,0.16678236554398831
ENSG00000101413,0.7517723726818143,0.9108418231146025
ENSG00000130706,0.20389875224611043,0.1687173179329725
ENSG00000025293,0.7003944571041045,0.7304373619008034
ENSG00000131067,0.26156257194337873,0.3105004117263659
ENSG00000124145,0.11966680677516346,0.10244503361149417
ENSG00000204070,0.018047557416349152,0.013791544890821641
ENSG00000124222,0.7131497539597083,0.8107741078050137
ENSG00000215440,0.6899164768316345,0.7240622655175116
ENSG00000101158,0.3688485335958551,0.27652528168905405
ENSG00000124172,0.08250575612039245,0.1043834700441827
ENSG00000101166,0.305613178597565,0.5451116835334814
ENSG00000244462,0.7012932686870907,0.7753385836195883
ENSG00000197296,0.8581367879677168,0.8146009111723495
ENSG00000124120,0.19441074362455507,0.2675215850315978
ENSG00000132824,0.15321096752482224,0.1657933387372697
ENSG00000168734,0.05547328527859743,0.015093202114523864
ENSG00000132823,0.10854746897350288,0.09612938364177519
ENSG00000149596,0.267865901574868,0.11589511876534238
ENSG00000124193,0.2932529969093991,0.3453082191627499
ENSG00000101052,0.17026054196208498,0.13729232958550872
ENSG00000101057,0.4399139801099503,0.5290757797191351
ENSG00000101307,0.6376466997754233,0.9001187455341723
ENSG00000271303,0.16694991745806573,0.08897462220154757
ENSG00000125821,0.632810653170871,0.5423114732688774
ENSG00000130703,0.09495372038792028,0.13920603019539707
ENSG00000149658,0.3838819377578594,0.6038451955921268
ENSG00000101198,0.7530858230169748,0.6815731281963674
ENSG00000101199,0.3543894655350627,0.3520793664066093
ENSG00000125863,0.6565953778430167,0.477533502762854
ENSG00000285508,0.0038672957239792257,0.004185022649661049
ENSG00000285723,0.8325323477453905,0.6772075849067773
ENSG00000125534,0.007312666177432845,0.004508974358670195
ENSG00000101213,0.003770958175370376,0.0054934161996712414
ENSG00000125531,0.6623683071864803,0.8014720041140307
ENSG00000088356,0.10030371292708996,0.07955129382756888
ENSG00000101331,0.5914060218620125,0.5192014576197426
ENSG00000126003,0.06298334369724297,0.049501587649666424
ENSG00000101367,0.6347271338603456,0.3341911685858883
ENSG00000101000,0.8283645540718867,0.9823319254777053
ENSG00000126005,0.6410237231480416,0.537167782737952
ENSG00000125998,0.30034970827227575,0.46684770670838405
ENSG00000198053,0.8368349359832277,0.7684376794649683
ENSG00000149636,0.8402588874434673,0.8755945325660331
ENSG00000130584,0.048962802646625087,0.03675937475828722
ENSG00000197818,0.2025619317620517,0.27848783660554516
ENSG00000101335,0.037251779543611724,0.008629449678781324
ENSG00000118707,0.0011589689297211078,0.0021663816808626885
ENSG00000259399,0.7284570912391555,0.8154563859153745
ENSG00000101082,0.5956477227274033,0.7140853810145322
ENSG00000125901,0.755141139474157,0.8562770284177139
ENSG00000185019,0.014208429018263151,0.013667125751229199
ENSG00000198171,0.7040400107719718,0.8912551787515285
ENSG00000125877,0.155030496639147,0.0927840993347323
ENSG00000125968,0.2760211232637811,0.40427671965629064
ENSG00000131055,0.5430376716964951,0.5188830644945859
ENSG00000088325,0.3671723870048518,0.4654430995205182
ENSG00000179772,0.44165981233105456,0.5217409259550478
ENSG00000171552,0.015900927302056715,0.010375223051560101
ENSG00000088970,0.05800167562599536,0.06044649913675377
ENSG00000125850,0.8487132911094769,0.888227056651713
ENSG00000125871,0.817028401116076,0.8570625858496489
ENSG00000232838,0.04757179082369638,0.04771140412588417
ENSG00000125869,0.29889700144356013,0.11798650450921133
ENSG00000125818,0.7669260055596063,0.6735610189505139
ENSG00000101298,0.28660517430514887,0.3124817244118185
ENSG00000125775,0.20599218390155818,0.38112401370922
ENSG00000196209,0.8183162571844188,0.9600941757268765
ENSG00000124104,0.3565033042181459,0.26486648180388744
ENSG00000132801,0.19575341293889958,0.22090837040716058
ENSG00000100979,0.6431723030033576,0.5930800644759677
ENSG00000100982,0.06561420170728376,0.06345194799779763
ENSG00000198026,0.11427142452341513,0.14996448854013392
ENSG00000100985,0.6659107701072144,0.9067164152504145
ENSG00000088832,0.2198001987623654,0.16262626187251153
ENSG00000088836,0.6656652779519421,0.7808924059875084
ENSG00000125967,0.44483164076816006,0.610979121767657
ENSG00000101412,0.7359858810235258,0.4709263064656509
ENSG00000101417,0.011655755518459507,0.003372184136215771
ENSG00000101421,0.07056369223904015,0.045965716853825354
ENSG00000242372,0.0847694106787222,0.034202961271016116
ENSG00000132646,0.8284700842565421,0.875269859701525
ENSG00000101290,0.3601450313418849,0.4110238409996173
ENSG00000089006,0.3200186805082627,0.39980874964482316
ENSG00000149600,0.2430761562623747,0.1514166824481839
ENSG00000101160,0.7210569865940886,0.819207663081607
ENSG00000198900,0.8300571357841828,0.812832374808957
ENSG00000171867,0.4547463209387391,0.3206772113906764
ENSG00000101265,0.29597107879261403,0.4057627613398068
ENSG00000244005,0.604639090367497,0.365896171954577
ENSG00000125995,0.07741159770398641,0.033525904874690426
ENSG00000131051,0.9398188977529052,0.9592611912350951
ENSG00000214078,0.051531300150954654,0.027657646374484268
ENSG00000185052,0.021731368271027483,0.0034203569483152916
ENSG00000204103,0.058825714341770585,0.026766824853260637
ENSG00000132793,0.15986007275316647,0.16052792524473888
ENSG00000124177,0.16777629836903613,0.1638931223742537
ENSG00000124107,0.8628916051959596,0.9476016456706715
ENSG00000101443,0.10341863956872621,0.07146877391097567
ENSG00000101446,0.3690974996858051,0.2920141129962822
ENSG00000101457,0.25552892752554557,0.2428847855917771
ENSG00000175063,0.13648307612146707,0.1381129911913631
ENSG00000101470,0.3248868262654288,0.25034436467282417
ENSG00000168612,0.2408001324993269,0.24270603534873264
ENSG00000124207,0.2793646461909964,0.21237148283912693
ENSG00000124214,0.4641613100738323,0.6464568903830733
ENSG00000101187,0.9161399557087623,0.7235370091139115
ENSG00000101189,0.337658584434601,0.5966992455605391
ENSG00000060491,0.21712154145542636,0.3450066091882197
ENSG00000092758,0.6562274289171002,0.9256637045962022
ENSG00000101190,0.5870518746361402,0.6629312467480042
ENSG00000101191,0.025795298874534064,0.05703501894653338
ENSG00000132622,0.4243526198548654,0.2349768777219738
ENSG00000101220,0.5543915830999636,0.6939544699530837
ENSG00000125817,0.3438778851498625,0.4365468815180613
ENSG00000125843,0.437170291509245,0.6319350064715685
ENSG00000088888,0.20792760517308226,0.3722642377892148
ENSG00000088367,0.0034508184419798143,0.002234942472001259
ENSG00000131043,0.22332284030926997,0.24528383218398436
ENSG00000196476,0.09806300024753976,0.10333437402253012
ENSG00000247315,0.9368839717456612,0.9429915597664259
ENSG00000125841,0.38822184545073146,0.3250246960955319
ENSG00000125875,0.16328197535736866,0.1715381699987884
ENSG00000101266,0.8184903202373605,0.5627245460138065
ENSG00000101276,0.6135810686898375,0.6328817630321324
ENSG00000124198,0.26392703298548587,0.28118644757388717
ENSG00000124098,0.13021760149467618,0.22029231887203315
ENSG00000087586,0.015112241150770742,0.00849125479578393
ENSG00000101138,0.35695890972776967,0.5233507674240163
ENSG00000022277,0.206704670624902,0.27320624928704534
ENSG00000087589,0.013426933952988338,0.020861730474224485
ENSG00000101247,0.6479707909046208,0.5964406216192041
ENSG00000124201,0.16000241939297494,0.23656145806060142
ENSG00000124171,0.026147050077409053,0.010176277746245545
ENSG00000124217,0.17670865385091325,0.18128104446320256
ENSG00000173418,0.004596198801538343,0.0036851112296413056
ENSG00000101343,0.5053566926334174,0.5745727434933408
ENSG00000132669,0.22741207231468746,0.1956549933967549
ENSG00000101236,0.06075373327006152,0.07735164051896089
ENSG00000088833,0.6175641437351369,0.5572411393420541
ENSG00000171222,0.9106635559019955,0.9853660604496574
ENSG00000101336,0.3135734070657383,0.338473183422997
