Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000129824,0.19916781749935525,0.21416258089663784
ENSG00000089012,0.022252380980683117,0.02392110467752436
ENSG00000171984,0.4949115228379629,0.8297748391896413
ENSG00000125827,0.6813876041871422,0.8714394256025216
ENSG00000149346,0.31730379277264703,0.25661096607681255
ENSG00000125845,0.7795645403707896,0.8012450386986891
ENSG00000125898,0.13662311518764766,0.45144763688583656
ENSG00000173404,0.2534857813292825,0.3409954230079845
ENSG00000132640,0.047358498512198234,0.01924772477098053
ENSG00000089063,0.3943444885360664,0.5909213796156371
ENSG00000125851,0.17139862161035033,0.1426976133618008
ENSG00000088876,0.07441799375112648,0.08207877779234023
ENSG00000101230,0.759941513166324,0.8844186630946884
ENSG00000170367,0.7598233329327387,0.6413120666060761
ENSG00000284776,0.013961959517610088,0.00812091786616358
ENSG00000101463,0.9364962605826456,0.9240843113788818
ENSG00000088930,0.040851865312434434,0.040080583404449435
ENSG00000125870,0.007584827109519517,0.016848260491100265
ENSG00000077984,0.0028808700566309926,0.003725910746039212
ENSG00000101474,0.059832308982689625,0.08425866834852706
ENSG00000125864,8.400367921287004e-05,7.654998134293664e-05
ENSG00000170369,0.11723549032575402,0.09240979847488852
ENSG00000125868,0.0008436182398006481,0.003643856684174931
ENSG00000125834,0.030643483585758084,0.02465679060251239
ENSG00000198646,0.26242060049375815,0.2153452453110981
ENSG00000172296,0.7694817437149539,0.8268500020802555
ENSG00000131069,0.3095741613673094,0.2803933807110402
ENSG00000078804,0.20010989549883315,0.30656123939621194
ENSG00000101384,0.6219452796824214,0.3005622978017676
ENSG00000089057,0.508706059383552,0.34774428610756836
ENSG00000101435,0.9376483256082883,0.8695354831232838
ENSG00000089123,0.2924978894870313,0.3292422930651549
ENSG00000132792,0.3087230227235587,0.8127552496164374
ENSG00000149639,0.15030377184482782,0.20275695405706795
ENSG00000101445,0.032526447547539625,0.05588376591456767
ENSG00000149633,0.04312420258410849,0.0721428502652433
ENSG00000101452,0.39511716614578896,0.42250709488755456
ENSG00000124191,0.25182547089699,0.36074307864359567
ENSG00000064655,0.2550207820275836,0.43261893383900507
ENSG00000062598,0.14304054325074603,0.20369249151873417
ENSG00000198959,0.991310799944451,0.7912414415996198
ENSG00000042062,0.1852624402256951,0.4396105253275956
ENSG00000158480,0.4764327610794188,0.6037263548816465
ENSG00000101447,0.05952729267992744,0.05758463514211803
ENSG00000197496,0.14755992191194503,0.32173934260292
ENSG00000124249,0.1570031088788278,0.13399315414690974
ENSG00000124226,0.2274317028111461,0.18282622443002522
ENSG00000080189,0.01723462396115843,0.08550998213802717
ENSG00000198768,0.7513617536783886,0.9033228042188834
ENSG00000088298,0.26317006887143357,0.6033407130099091
ENSG00000124151,0.0716753315953259,0.08611909270232967
ENSG00000101425,0.05352006975049322,0.1576714785603119
ENSG00000124126,0.8462435641618311,0.6363826786479918
ENSG00000124212,0.6304143600539741,0.2939329047449493
ENSG00000182621,0.24735265935530312,0.25650012560145374
ENSG00000054793,0.3928276253024072,0.3736329451656931
ENSG00000125970,0.2036176389849526,0.24330975399703952
ENSG00000089101,0.5168000569751029,0.4897774684879511
ENSG00000124216,0.07311487497308268,0.05527907760471142
ENSG00000101194,0.562164507796008,0.5409474984859055
ENSG00000132825,0.038300758787987235,0.08844966437407548
ENSG00000101132,0.41451854481486916,0.39497210362648816
ENSG00000101182,0.003075627621417109,0.01804665977054571
ENSG00000197586,0.3108221003937605,0.38169575409071776
ENSG00000130701,0.21302170583651492,0.3835097015878237
ENSG00000101439,0.12940953173118044,0.07913240620790217
ENSG00000101193,0.32075404520055634,0.30678967676523816
ENSG00000124225,0.17770703123906048,0.2411532480191919
ENSG00000101365,0.06932030804531111,0.23752756023309377
ENSG00000124164,0.011117975968108732,0.0445302902554408
ENSG00000182463,0.08751060961959432,0.060475908215942155
ENSG00000132821,0.4032030533055785,0.8164299889376192
ENSG00000125977,0.008951872179528326,0.010504124324991869
ENSG00000203883,0.8059507154547603,0.874334116087006
ENSG00000154930,0.651298186624741,0.2698224940393238
ENSG00000101134,0.716114636160351,0.9812988476019322
ENSG00000158470,0.2821005320370325,0.143695825696206
ENSG00000020256,0.12910044582798014,0.18651696692772382
ENSG00000101115,0.9026937512197619,0.9081641501179996
ENSG00000101144,0.6067162036070026,0.2768704307843111
ENSG00000101407,0.026357498550919713,0.05329597979124424
ENSG00000101079,0.0553336328843327,0.10742300637832261
ENSG00000171858,0.5904701317650852,0.357185062030423
ENSG00000087510,0.26862519540846314,0.1338800962682121
ENSG00000184402,0.02355489497084294,0.022640948612620494
ENSG00000101361,0.03068932299355182,0.03179425108019925
ENSG00000101096,0.08807317047862118,0.12607763003172964
ENSG00000196074,0.07996358999126553,0.1310839541697652
ENSG00000130702,0.7930020306463211,0.8167873202651286
ENSG00000149657,0.3422196471907047,0.5312313840994234
ENSG00000171703,0.31932250216922964,0.08412562799388447
ENSG00000129988,0.8394553624485831,0.9327202581753041
ENSG00000196227,0.12100427579172932,0.12474702286297282
ENSG00000080839,0.044465781609553674,0.022939903846215443
ENSG00000124209,0.05122048670331693,0.06118699599233507
ENSG00000124205,0.5876426729174298,0.35139582410743764
ENSG00000101413,0.31918183284856816,0.24892649844150916
ENSG00000130706,0.15250760595060686,0.43345132525377705
ENSG00000025293,0.010971033708078988,0.01047576768537022
ENSG00000131067,0.1366058088964139,0.03895649687114922
ENSG00000124145,0.8634023064932668,0.8251156384504552
ENSG00000204070,0.7591927237149165,0.9029573440941709
ENSG00000124222,0.29903063818658127,0.368038328804565
ENSG00000215440,0.3928289872679799,0.9245199936933826
ENSG00000101158,0.009666015781403409,0.04490451515044174
ENSG00000124172,0.3584353326454227,0.7956398913267733
ENSG00000101166,0.050795853372165765,0.06639973044618659
ENSG00000244462,0.35314184805903415,0.1967596439474513
ENSG00000197296,0.08459434691474493,0.17647514670830072
ENSG00000124120,0.5597110799818239,0.3566512898429933
ENSG00000132824,0.06350100385144106,0.053671798934382876
ENSG00000168734,0.566594141042124,0.3653540114642915
ENSG00000132823,0.23229855414514142,0.23795066481500282
ENSG00000149596,0.3421937250229504,0.21538841811191548
ENSG00000124193,0.33886509720987845,0.16312176849704987
ENSG00000101052,0.23903914097831874,0.23694995059762963
ENSG00000101057,0.1767166261864215,0.16996637740797588
ENSG00000173335,0.9583464663979743,0.9183051849977016
ENSG00000101307,0.3112358527995898,0.19647136693901102
ENSG00000271303,0.00022729603122214714,0.0009214485944389252
ENSG00000125821,0.03572293111478387,0.04361685115571693
ENSG00000130703,0.001453943830457502,0.0037059035555732558
ENSG00000101098,0.3312085973235543,0.4457346590614999
ENSG00000149658,0.049859706768969135,0.04261176694706956
ENSG00000101199,0.04039151395915216,0.07723614801377153
ENSG00000125863,0.09909364849776613,0.0773932839424619
ENSG00000285508,0.8636427505225437,0.7726999072218136
ENSG00000285723,0.514459390010754,0.33815351980163644
ENSG00000125534,0.5163968895969112,0.1944781237491144
ENSG00000101213,0.07111214549639008,0.11503143989094183
ENSG00000125531,0.9220259844250873,0.46551006121647676
ENSG00000088356,0.0853934036043165,0.11628867514648299
ENSG00000101331,0.5226135525073576,0.9115032211353986
ENSG00000126003,0.40058857489191535,0.20978495432164135
ENSG00000101367,0.14321267051441552,0.06102294305425099
ENSG00000101000,0.9487882004351075,0.8088130366294998
ENSG00000126005,0.6105273791442849,0.15218360477765483
ENSG00000125966,0.43073258918367674,0.5394113952747999
ENSG00000198053,0.92250721772327,0.6041457830230983
ENSG00000149636,0.017690038063673617,0.03733607328115475
ENSG00000130584,0.48290951734315835,0.6316866102014369
ENSG00000197818,0.33523588970064205,0.3113241895848057
ENSG00000101335,0.7555462355932865,0.5293477054123825
ENSG00000118707,0.9537888979888063,0.5861150462025249
ENSG00000259399,0.6575026819581609,0.17020133453690744
ENSG00000101082,0.06994180218487094,0.07921982654344166
ENSG00000125901,0.5324040920369205,0.8479598947243017
ENSG00000185019,0.026418051459284612,0.07593164854103013
ENSG00000198171,0.9102626006430373,0.35049490663363936
ENSG00000125877,0.5051902386298854,0.8364208016728327
