Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000089012,0.03571252982436712,0.03761773855846077
ENSG00000171984,0.06074756467087705,0.10434924359919828
ENSG00000125827,0.8257953737065278,0.9188213759956375
ENSG00000149346,0.32438969114796884,0.39063283572301355
ENSG00000125820,0.21457803570657602,0.19769252489008718
ENSG00000125845,0.1483276033247569,0.2599120751059695
ENSG00000125898,0.7016764842580829,0.7387210116646475
ENSG00000173404,0.8076761351411067,0.9935723904259672
ENSG00000132640,0.0900699073130624,0.1092153921143316
ENSG00000089063,0.785247497337627,0.6708585365433017
ENSG00000088876,0.5221851743604344,0.928847299331568
ENSG00000101230,0.7026921089665242,0.466228021736814
ENSG00000284776,0.4556204793622406,0.478333429874214
ENSG00000088930,0.00801349398361427,0.008915589203050724
ENSG00000125870,0.6239290204250099,0.6170706721029581
ENSG00000077984,0.009194724257214881,0.023935796786947204
ENSG00000101474,0.06658248814190522,0.08967153247292015
ENSG00000125864,0.9293575540311626,0.742979921692442
ENSG00000170369,0.009175498816651022,0.01765405782016528
ENSG00000125868,0.09762879333283181,0.2112005038359333
ENSG00000125834,0.04312527586665734,0.06701557429902359
ENSG00000198646,0.16253257613784397,0.18037250471754693
ENSG00000172296,0.07053216146832533,0.02781778057891114
ENSG00000131069,0.5531247209660815,0.20394475729246875
ENSG00000078804,0.3143893569609334,0.5430444505637262
ENSG00000101384,0.10589110256971435,0.3207276657584538
ENSG00000089057,0.035947348334217276,0.08872702919586817
ENSG00000089123,0.5355752869161973,0.29338484944076065
ENSG00000132792,0.9811168119221697,0.6014977378277239
ENSG00000149639,0.4625546508951639,0.5593334888458624
ENSG00000101445,0.07233239936381895,0.09655091437533361
ENSG00000101452,0.8133183890669462,0.7249848720544059
ENSG00000124191,0.480159085952789,0.4033989933433293
ENSG00000064655,0.3095731922383859,0.3538673218516385
ENSG00000062598,0.46473942686121117,0.5728394775615364
ENSG00000198959,0.009511311579551457,0.0030528372003443206
ENSG00000042062,0.5757511614219554,0.4796127416935215
ENSG00000158480,0.25539262619053993,0.19891026509004053
ENSG00000101447,0.4580545723962379,0.6045773781423284
ENSG00000197496,0.15634326027200904,0.16095035185790585
ENSG00000124249,0.12092101724503405,0.1305770662033356
ENSG00000124226,0.14199077037117716,0.04541079003513169
ENSG00000080189,0.19600785822438516,0.12880482753911615
ENSG00000088298,0.43731456378574507,0.34846716840262526
ENSG00000124151,0.07184120968127222,0.06470980415914412
ENSG00000124126,0.15568828988741,0.19255105860756436
ENSG00000124212,0.1366752689887301,0.10190818874343287
ENSG00000182621,0.9440764647387886,0.8078128447496069
ENSG00000054793,0.10710538940209029,0.0843664667398702
ENSG00000125970,0.7316102838965954,0.6716809963406394
ENSG00000124216,0.012297956178120024,0.005242162427803908
ENSG00000101194,0.41326527825226944,0.2631964718469882
ENSG00000132825,0.1542699011238665,0.10415813304760639
ENSG00000101132,0.8603120748494547,0.762562039190249
ENSG00000101182,0.8986834295132347,0.8925207910681319
ENSG00000124215,0.11495161867350703,0.1634964640034003
ENSG00000197586,0.026627791106981824,0.016016738346539685
ENSG00000130701,0.6362110862388114,0.6327932749270985
ENSG00000101439,0.2011893911784553,0.14504678963647136
ENSG00000101193,0.8466798054473882,0.7915885082432292
ENSG00000124225,7.634463429762478e-06,8.800860144267308e-06
ENSG00000101365,0.3228092929184451,0.2919000319351642
ENSG00000124164,0.35981819872335563,0.3962837414953756
ENSG00000182463,0.2184390108565472,0.07184179701985417
ENSG00000132821,0.7949109296496192,0.5243612972480354
ENSG00000125977,0.06312122571971715,0.012489373601412215
ENSG00000203883,0.6557323726693743,0.7899000904092432
ENSG00000154930,0.03313919817559787,0.0182470196194547
ENSG00000158470,0.2297507487162018,0.06564471979683871
ENSG00000020256,0.26265047127944113,0.26691923000006124
ENSG00000101115,0.47405104625011374,0.2975790226559445
ENSG00000101144,0.045250625513667576,0.021485570489335217
ENSG00000101407,0.038372588207747624,0.03772400171402011
ENSG00000101079,0.6611732667822519,0.6888235127982869
ENSG00000171858,0.03529257336592569,0.008571374589533023
ENSG00000087510,0.3642333803172615,0.3568988956758071
ENSG00000184402,0.3579931244573846,0.4013699061729853
ENSG00000101361,0.977093578480489,0.7823738775963032
ENSG00000101096,0.8134341923995407,0.8640451054681547
ENSG00000196074,0.06306562257905281,0.04834932943819012
ENSG00000130702,0.1176480042295976,0.07703408698836986
ENSG00000149657,0.6067589890945924,0.6180947013231193
ENSG00000171703,0.70298617351009,0.9657647707050637
ENSG00000129988,0.12433658999903276,0.09045108040216902
ENSG00000196227,0.4355419083077048,0.33856926374973484
ENSG00000080839,0.5425309438276568,0.8731413742027423
ENSG00000124209,0.15544246690347124,0.2070994969738471
ENSG00000124205,0.07602641707408382,0.1013966624442533
ENSG00000101413,0.320692845512266,0.3600746533315795
ENSG00000130706,0.8980280944843478,0.602921652890001
ENSG00000025293,0.18209949338007786,0.1522637333916605
ENSG00000131067,0.19183107691613713,0.12555944947822914
ENSG00000124145,0.36401727891442237,0.14813743634787988
ENSG00000204070,0.9244249185681668,0.815219675550883
ENSG00000124222,0.21209168135385778,0.10754866011415506
ENSG00000215440,0.6337322979373825,0.7054131807391286
ENSG00000101158,0.781239113978094,0.7132407643026231
ENSG00000124172,0.25368990451461326,0.10745692960656317
ENSG00000101166,0.24569414481637517,0.29980138602271983
ENSG00000244462,0.10942843655862591,0.08422535552862152
ENSG00000197296,0.058157491562585435,0.024281627802732752
ENSG00000124120,0.003015197168742875,0.0028395379918168167
ENSG00000132824,0.0009926169195290226,0.001469225179406659
ENSG00000168734,0.4943594209353075,0.30057959131118783
ENSG00000101342,0.01304223102260434,0.015213326272685112
ENSG00000132823,0.2881881956973552,0.22756793689052388
ENSG00000149596,0.24412931590975212,0.10429750264876304
ENSG00000124193,0.8498235856852514,0.9689483021950956
ENSG00000101052,0.945182425644569,0.9418231224867177
ENSG00000101057,0.8395790810711321,0.9721960894796905
ENSG00000101307,0.6293310369753284,0.9223642401133482
ENSG00000271303,0.18956478648701994,0.3658804261690063
ENSG00000125821,0.47980115063807005,0.41914405937257737
ENSG00000130703,0.13607561090702752,0.12975083129618858
ENSG00000149658,0.871695834546452,0.9255522404545216
ENSG00000101197,0.012045936224151241,0.014721817158940583
ENSG00000101198,0.30701827144521765,0.421399864813537
ENSG00000101199,0.940731697143075,0.9975822648771605
ENSG00000125863,0.15867866383060195,0.2810475227322515
ENSG00000285508,0.6396446110584544,0.7480288879977992
ENSG00000285723,0.00027882428638365214,0.0004502560230762938
ENSG00000125534,0.8705362395037501,0.9509779782463814
ENSG00000101213,0.13410415885998245,0.15366878211944987
ENSG00000125531,0.4633220109558094,0.5188201678220867
ENSG00000088356,0.9344239762842851,0.7631872913427113
ENSG00000101331,0.4599526855569859,0.535722412533649
ENSG00000126003,0.49596636233219626,0.46935615242340656
ENSG00000101367,0.004180814843027663,0.0035681979259121806
ENSG00000101000,0.8135373929248095,0.7320098869149637
ENSG00000126005,0.21063719773753814,0.18024991388032918
ENSG00000125998,0.18926476625714897,0.11753642185032799
ENSG00000198053,0.4059689042679806,0.238395624907854
ENSG00000149636,0.36776731682584085,0.5320015808311553
ENSG00000130584,0.4849318704379537,0.6349690697082995
ENSG00000197818,0.23746899642984584,0.4487965171052982
ENSG00000101335,0.15121665432509998,0.10147377463446379
ENSG00000118707,0.5513139265700626,0.6724551418761432
ENSG00000259399,0.009052786303646533,0.001701419369013224
ENSG00000101082,0.005338166957466082,0.013688890073170852
ENSG00000125901,0.9279808287621168,0.8350445143748564
ENSG00000185019,0.33110165200307584,0.16376184962088083
ENSG00000198171,0.04842017706391892,0.02301567572791146
ENSG00000125877,0.3633259554971343,0.42899429280246637
ENSG00000125968,0.031192835766831444,0.025626004296760804
ENSG00000131055,0.0016430543779871428,0.00023546131495117705
ENSG00000088325,0.1595954362862274,0.1779157792058501
ENSG00000179772,0.9933352920323602,0.8018849958232659
ENSG00000171552,0.03794515057859756,0.01427787408873093
ENSG00000088970,0.1405807950016356,0.5239935708146044
ENSG00000125850,0.048131371954098244,0.06400798034202149
ENSG00000125871,0.18868615678983813,0.1698828571447818
ENSG00000232838,0.034068613193525034,0.0157582140707368
ENSG00000125869,0.18435287178003204,0.10276024691222597
ENSG00000125818,0.09121786131252689,0.031716391135555126
ENSG00000101298,0.03393534985492024,0.03414206469324797
ENSG00000125775,0.5529052771217169,0.4545397933263041
ENSG00000196209,0.6681653585171656,0.6463014228214536
ENSG00000124104,0.36793090334942125,0.30506198842337856
ENSG00000132801,0.19666699710081312,0.14255109731704688
ENSG00000100979,0.4270160479821782,0.34456550399826347
ENSG00000100982,0.6877829699566058,0.8782735042155903
ENSG00000198026,0.36110212297736943,0.3380671951515447
ENSG00000100985,0.9324598401684555,0.6244910772550818
ENSG00000088832,0.6216429174770062,0.21416505797704516
ENSG00000088836,0.029683170817885983,0.03990610562216102
ENSG00000125967,0.8775737540685877,0.8689495354346595
ENSG00000101412,0.5530406714315173,0.6896823137880395
ENSG00000101417,0.5176401117047909,0.3635889690022579
ENSG00000101421,0.6212726222939093,0.21163283771203267
ENSG00000242372,0.4520787956134955,0.23085534129357768
ENSG00000132646,0.05818893849579635,0.04000283858744921
ENSG00000101290,0.04545930775964154,0.052541601454533286
ENSG00000089006,0.6280100351819644,0.48237946737992643
ENSG00000149600,0.8860393894511666,0.970862579659688
ENSG00000101160,0.12770378512607883,0.09364719735646529
ENSG00000198900,0.28007178715031394,0.2458049842388141
ENSG00000171867,0.3647352144747994,0.44336345082840056
ENSG00000171864,0.7035175417464679,0.7945391474539615
ENSG00000101265,0.13211806027252326,0.09766551045469113
ENSG00000244005,0.17033540614743725,0.4435969409402266
ENSG00000125995,0.024827950228005977,0.016504090744895398
ENSG00000131051,0.45064651507064335,0.3080909792246665
ENSG00000214078,0.518735236407433,0.7501568958907494
ENSG00000185052,0.0602570169533438,0.09216884490242179
ENSG00000204103,0.3973993913726117,0.3586973563606026
ENSG00000132793,0.034633319638553144,0.028269585225322913
ENSG00000124177,0.8984497299497306,0.8344988188349812
ENSG00000124107,0.609922092812064,0.8660514937856121
ENSG00000101443,0.9135247181582214,0.6599590002463908
ENSG00000101457,0.9897974715844748,0.45501552572874326
ENSG00000175063,0.9626169499543606,0.6722755111081996
ENSG00000101470,0.39053887197418957,0.5783158582479424
ENSG00000168612,0.025341452090264054,0.006033164219843353
ENSG00000124207,0.07166013416201725,0.15635754610417388
ENSG00000124214,0.1263423702613707,0.03867636489956496
ENSG00000101187,0.9064465020736129,0.7437338051503091
ENSG00000101189,0.27337973410975863,0.13662108943808812
ENSG00000060491,0.7066304856156242,0.48136973750808476
ENSG00000092758,0.7933486005649764,0.6537599683262164
ENSG00000101190,0.5258099506633751,0.4826412534463863
ENSG00000101191,0.5202453996052976,0.35582347621465515
ENSG00000132622,0.26272140500002356,0.5407602717217908
ENSG00000101220,0.7402245593105512,0.8519625749034507
ENSG00000101222,0.0925578479652968,0.16502907095852543
ENSG00000125817,0.8560184584482345,0.36942087733643225
ENSG00000125843,0.28770790578360195,0.1997550727237626
ENSG00000088888,0.013293433293094053,0.0031357629143354583
ENSG00000088367,0.5962461944495137,0.3608226937376847
ENSG00000131043,0.2184008297604088,0.06985452646187493
ENSG00000196476,0.9799852207093118,0.888923713802765
ENSG00000247315,0.4574532053724222,0.3577572317973666
ENSG00000125841,0.7396484210672138,0.659931293062201
ENSG00000125875,0.274505353999881,0.21134244768066593
ENSG00000101266,0.7934732826871865,0.945912725026749
ENSG00000101276,0.1256372268350306,0.05618466984118799
ENSG00000124198,0.38505703928096746,0.9911198984387146
ENSG00000124098,0.13704504591189087,0.22781800945254077
ENSG00000087586,0.9768170436887047,0.7421131351061616
ENSG00000101138,0.18978404057203357,0.2629362569834168
ENSG00000022277,0.37011645643795066,0.1496794335331403
ENSG00000101247,0.17773783758865927,0.025386089655111216
ENSG00000124201,0.4485528157642896,0.5231690460592873
ENSG00000124171,0.7135538044334023,0.8839904997798499
ENSG00000124217,0.6872204449887014,0.3951519473620466
ENSG00000173418,0.2185803776346228,0.035682164100321045
ENSG00000101343,0.02321817471064669,0.08670150146829876
ENSG00000132669,0.05801832257755229,0.11945477313087505
ENSG00000101236,0.06677548305387326,0.03180555630946787
ENSG00000088833,0.47394726975478063,0.3052239786998117
ENSG00000171222,0.36247450672254766,0.37254783513571443
ENSG00000101336,0.017624093558008244,0.04937558154552724
ENSG00000124228,0.19912075750401378,0.03845145224207722
ENSG00000101181,0.020941862870207623,0.008414520647555363
ENSG00000101224,0.47770785177313324,0.3920583666913292
ENSG00000177732,0.16111689348271913,0.12150639181583664
ENSG00000170373,0.46966291037398966,0.5860151317963164
