Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.3490527828536111,0.17439265048828853
ENSG00000198692,0.3832520172371887,0.16191312542553216
ENSG00000012817,0.28073846009769443,0.1940969605571596
ENSG00000129824,0.24446276231198888,0.10363282907853165
ENSG00000067646,0.49418434205037776,0.3265287207155066
ENSG00000067048,0.21769161432599723,0.1390463547871446
ENSG00000183878,0.30972062636609377,0.2735998220955831
ENSG00000154620,0.3989383692982508,0.1941281308673805
ENSG00000089012,0.737884002571314,0.560190332132172
ENSG00000171984,0.9367697498325432,0.6279060222357489
ENSG00000125827,0.2550308768103977,0.265642309227841
ENSG00000149346,0.9556733144107672,0.4923111348846956
ENSG00000125845,0.31508163193038796,0.5229184841298338
ENSG00000125898,0.2759833635190745,0.706563647165267
ENSG00000173404,0.7735971205529757,0.36054031276471377
ENSG00000132640,0.33936709531622494,0.2785166516179386
ENSG00000089063,0.976857405300791,0.8877388669873677
ENSG00000088876,0.8684066296635657,0.4719601683362501
ENSG00000101230,0.10993579980340279,0.33291133946369605
ENSG00000284776,0.0416677315639249,0.08834539379942091
ENSG00000101463,0.17825641960008254,0.4027618077012135
ENSG00000088930,0.06347618570639285,0.04082566873695973
ENSG00000125870,0.6645876172752838,0.4891311666282039
ENSG00000077984,0.5146947761004855,0.5987211957319407
ENSG00000101474,0.21740178332410012,0.1045312057683827
ENSG00000125864,0.9821298389151787,0.8611013029280776
ENSG00000170369,0.12628107426182936,0.4688073101823188
ENSG00000125868,0.5744750458929209,0.40486501329629343
ENSG00000125834,0.9272134607394895,0.4266344224017371
ENSG00000198646,0.8541725803011415,0.13751840517234248
ENSG00000172296,0.8111452060575418,0.9277681052150113
ENSG00000131069,0.5287678405693086,0.22916455844745015
ENSG00000078804,0.8692421748798729,0.5203492213981318
ENSG00000101384,0.872917731873512,0.8135507679961151
ENSG00000089057,0.49074866721138166,0.5375514344694636
ENSG00000089123,0.6238119352550622,0.24793720586560197
ENSG00000132792,0.3396150713189086,0.8508141815486625
ENSG00000149639,0.3610062145951827,0.9047650762045569
ENSG00000101445,0.6328383101315256,0.7544359039919468
ENSG00000149633,0.6317408531369462,0.8472752594895053
ENSG00000101452,0.6037145129795449,0.4189163142716422
ENSG00000124191,0.13554190775973973,0.03943916585140527
ENSG00000064655,0.879367975328218,0.6119437795137619
ENSG00000062598,0.8257667907607624,0.2562130165328055
ENSG00000198959,0.7163529807332467,0.959060229541921
ENSG00000158480,0.21054531462264642,0.7501818368547652
ENSG00000101447,0.7599438781879662,0.738138697664946
ENSG00000197496,0.6574651005235626,0.6465068217222176
ENSG00000124226,0.8714567231173916,0.5312445901571349
ENSG00000080189,0.18673112760644073,0.9531575898171329
ENSG00000088298,0.7153224502179907,0.2774953097208517
ENSG00000124151,0.8703751592302436,0.2494896218100048
ENSG00000124126,0.7476993537698557,0.9504442443998224
ENSG00000124212,0.1571733455993787,0.4761767705774057
ENSG00000182621,0.8225929911540625,0.7227410602514788
ENSG00000054793,0.9917436005076825,0.1257623929570671
ENSG00000125970,0.8247454110306089,0.26845506899072274
ENSG00000124216,0.030125038737541885,0.048429331368809996
ENSG00000101194,0.5679113398983624,0.9560810737247158
ENSG00000132825,0.40625399081641034,0.7186168053117925
ENSG00000101132,0.30291673608635294,0.8285611499691302
ENSG00000101182,0.7798074638660585,0.1933324869291124
ENSG00000197586,0.03444227019554084,0.012218168458567678
ENSG00000130701,0.911572026606157,0.38398840656283484
ENSG00000101439,0.16104365146473285,0.06178556152388738
ENSG00000101193,0.9366097335587396,0.11880455885995746
ENSG00000124225,0.3686811892372276,0.6396066809041432
ENSG00000101365,0.7257361342273003,0.8440193782725073
ENSG00000124164,0.5836011874747125,0.631010054039355
ENSG00000182463,0.6224580083497753,0.6109579412164352
ENSG00000132821,0.13333918935212324,0.4862804430501596
ENSG00000125977,0.7635660885238144,0.40956239400034533
ENSG00000203883,0.31770563390729367,0.43632766222877306
ENSG00000154930,0.6664486825790121,0.8125307294877956
ENSG00000101134,0.4300019421460991,0.6486905020557245
ENSG00000158470,0.7480997774737081,0.9068553949447666
ENSG00000020256,0.405146594850991,0.9093591252225581
ENSG00000101115,0.2531244885543368,0.9926952701342234
ENSG00000101144,0.8570145427728324,0.30731096336485475
ENSG00000101407,0.9721807502147566,0.31575487156565435
ENSG00000101079,0.9209924894317925,0.21302441205830092
ENSG00000171858,0.46754976865296227,0.7515186736774939
ENSG00000087510,0.1452676542041926,0.3461979893566214
ENSG00000184402,0.5026852058550123,0.4602268713866523
ENSG00000101361,0.9822253516902212,0.8212184070192472
ENSG00000101096,0.624102370943496,0.15209725736295981
ENSG00000196074,0.6644844920093298,0.8849829843874353
ENSG00000130702,0.836321431474808,0.24326246550144678
ENSG00000149657,0.4990328004566883,0.6194852315133117
ENSG00000087495,0.02553569966532759,0.18132358179564778
ENSG00000171703,0.12317511148463887,0.7595794395405822
ENSG00000196227,0.2460538865950988,0.9628177407666336
ENSG00000080839,0.704884659996684,0.21054957234955426
ENSG00000124209,0.7876763839016524,0.21365196857911084
ENSG00000124205,0.3716696421997492,0.2776591172087075
ENSG00000101413,0.61993064358596,0.5480318540655771
ENSG00000130706,0.3909400692455258,0.9265244418163803
ENSG00000025293,0.6475006687502612,0.12420052824679549
ENSG00000131067,0.42273142461061086,0.5305965205607613
ENSG00000124145,0.8469699763086068,0.27714166445265415
ENSG00000204070,0.6442104461582447,0.592602818131194
ENSG00000124222,0.4416129843532558,0.5058097730189194
ENSG00000215440,0.9336502376796291,0.710589639927864
ENSG00000101158,0.9186634169208195,0.3420413485417676
ENSG00000124172,0.28265006213183036,0.8471667208141751
ENSG00000101166,0.3904417353036256,0.09736517770877474
ENSG00000244462,0.40188219179779505,0.21345530845625865
ENSG00000197296,0.9378007525604425,0.5303063273849118
