Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.00021108348498998652,0.0004558715914389523
ENSG00000198692,0.04706644418434495,0.04957452816527144
ENSG00000258992,0.6378059659472669,0.6709966275775472
ENSG00000012817,0.0013884871880096542,0.001590767779903621
ENSG00000129824,0.02543425625667314,0.01761898852278224
ENSG00000067646,0.0014685064941896149,0.0026511638070832954
ENSG00000067048,0.0012816627161061907,0.0014830166638412701
ENSG00000183878,6.457038537633965e-05,0.0001272811090566312
ENSG00000168757,0.4575044815808944,0.4785698131412822
ENSG00000165246,0.0009043561323748841,0.0011808497388679387
ENSG00000233803,0.575964751588131,0.6498934085415573
ENSG00000238074,0.6586025249475049,0.7410641035863144
ENSG00000089012,0.001016048733905469,0.0030215151503709143
ENSG00000171984,0.08648932180945852,0.07729301859303406
ENSG00000125827,0.0909956582816714,0.19433090282114465
ENSG00000149346,0.47296460296081544,0.667975806967775
ENSG00000125845,0.33007108510701244,0.1527283031170676
ENSG00000125898,0.7269656966290514,0.7431342031395423
ENSG00000132640,0.49508436661141564,0.38740627993172316
ENSG00000089063,0.019006225930846166,0.04694013560707302
ENSG00000088876,0.6678930179642709,0.8796820604228304
ENSG00000101230,0.1568123715712134,0.20138072841114757
ENSG00000284776,0.44082716818596734,0.5107493921363085
ENSG00000101463,0.8188972175614093,0.49864283498811746
ENSG00000088930,0.48326811348974097,0.7253503184234866
ENSG00000125870,0.06136398306966047,0.0900625047050398
ENSG00000077984,0.004084194584335596,0.0060430047459679
ENSG00000101474,0.28964691840897794,0.6301097472511654
ENSG00000125864,0.3852953626121931,0.4182565598293687
ENSG00000170369,0.38533961756157376,0.8741858760048057
ENSG00000125868,0.23316634150865453,0.1915188917130338
ENSG00000125834,0.830368696937358,0.8786970424941728
ENSG00000198646,0.9662832735339929,0.7257175040154433
ENSG00000172296,0.5658343619945808,0.2164487774816781
ENSG00000131069,0.5980007550559465,0.7497758688131417
ENSG00000078804,0.5595270443371536,0.4647251701393281
ENSG00000101384,0.29210892535394517,0.27833471972651175
ENSG00000089057,0.6847175902443072,0.5944132018789319
ENSG00000089123,0.8075647454337287,0.6201361609938013
ENSG00000132792,0.3340787105112573,0.3838638526186664
ENSG00000149639,0.5269396114793449,0.2561508346853913
ENSG00000101445,0.0002173992998002307,0.0007236624624425329
ENSG00000149633,0.8457789747312949,0.5115548037936167
ENSG00000101452,0.8788885656547367,0.6273643866607104
ENSG00000124191,0.6914841069485944,0.5660197162595011
ENSG00000064655,0.6323284450390769,0.3325843717901905
ENSG00000062598,0.8404473419630499,0.7477085644979848
ENSG00000198959,0.052262375466018425,0.05913694431014882
ENSG00000042062,0.00012523167329475186,0.0002662752879903394
ENSG00000158480,0.4388618202028167,0.260477379328976
ENSG00000101447,0.4472689683299488,0.6486679599407816
ENSG00000197496,0.5292788961402252,0.2319108726778341
ENSG00000124226,0.2407850341086283,0.27077320218917705
ENSG00000080189,0.9046220921922515,0.9071220617967246
ENSG00000198768,0.0209511579251357,0.022296267965835354
ENSG00000088298,0.6128249627430264,0.8792266621308893
ENSG00000124151,0.38877637102456986,0.457650401685183
ENSG00000124126,0.07391954059867986,0.04949394136379704
ENSG00000124212,0.3581549666051045,0.853132740874623
ENSG00000182621,0.7269760558469831,0.992010612678245
ENSG00000054793,0.7338871630383208,0.7585789405811648
ENSG00000125970,0.6489122078652263,0.3952027090760608
ENSG00000124216,0.20593551823020592,0.2696089533347404
ENSG00000101194,0.1951101532292017,0.13217110543988775
ENSG00000132825,0.5468679219639396,0.24731203234796134
ENSG00000101132,0.17539652454958346,0.10143598564832476
ENSG00000101182,0.07488267171540837,0.07860714333911833
ENSG00000124215,0.8546383505075942,0.5827868302590224
ENSG00000197586,0.5331649449087914,0.8736600782037585
ENSG00000130701,0.11463142771505805,0.10633059725617997
ENSG00000101439,0.867123681846352,0.5130038374909733
ENSG00000101193,0.7487452717745604,0.9499671790377217
ENSG00000124225,0.2625526639177464,0.239480165527155
ENSG00000101365,0.6211937054856045,0.9049640343598542
ENSG00000124164,0.08315896802322793,0.049691552836712255
ENSG00000182463,0.677896693916531,0.33163058798070366
ENSG00000132821,0.040828215087102056,0.040474441890409635
ENSG00000125977,0.10790300987355068,0.12870560479621412
ENSG00000203883,0.094401866956567,0.0920274435989544
ENSG00000154930,0.1379908902498668,0.03212476924296605
ENSG00000101134,0.5223325556567988,0.9432595025383137
ENSG00000158470,0.29906502575464794,0.7221297688304881
ENSG00000020256,0.3595422269947013,0.13200234084983387
ENSG00000101144,0.3767524507255994,0.13421217449624204
ENSG00000101407,0.3027092828613567,0.4563554282753086
ENSG00000101079,0.796784909918034,0.8542141883355187
ENSG00000171858,0.3481270799852144,0.558788965362111
ENSG00000087510,0.3078794542374518,0.5342230769686308
ENSG00000184402,0.11047232571631542,0.0781257541586823
ENSG00000101361,0.1278041313601341,0.2403532235673399
ENSG00000101096,0.19080168849708085,0.12702257503808162
ENSG00000196074,0.012774726379247371,0.004322920275708372
ENSG00000130702,0.18494308328506873,0.15516267809858136
