Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.7346633231949765,0.5170166694426401
ENSG00000198692,0.2694190720764563,0.23139336270335642
ENSG00000012817,0.303684190649593,0.16883244180262275
ENSG00000129824,0.7612041250259913,0.6393979907600348
ENSG00000067646,0.8966081114597543,0.5783351494898872
ENSG00000067048,0.46795744276365325,0.32175517191622705
ENSG00000183878,0.6685517435150783,0.43774535186160457
ENSG00000171984,0.21080331829461904,0.6747026145294799
ENSG00000125827,0.8135221811190096,0.7128168719486999
ENSG00000149346,0.18715479737299173,0.3672037303547889
ENSG00000125845,0.17758716767224328,0.5925204966545975
ENSG00000125898,0.7326937921064135,0.23725733884516734
ENSG00000132640,0.21571134187310612,0.025334935416357174
ENSG00000089063,0.189861856877969,0.07157897438527636
ENSG00000088876,0.31167746440925964,0.5256970869248971
ENSG00000170367,0.4960994544491275,0.38141076841562116
ENSG00000284776,0.6916432173349534,0.8978456036624481
ENSG00000101463,0.7239904474041755,0.504003694754076
ENSG00000088930,0.11678548329086133,0.23930935820114507
ENSG00000125870,0.010144232654829215,0.018505441632666746
ENSG00000077984,0.8769119830987411,0.3787608100520139
ENSG00000101474,0.20126779732141364,0.04834523811497283
ENSG00000125868,0.5041302922964934,0.1364535188619079
ENSG00000125834,0.9966197849680501,0.7656950743407326
ENSG00000198646,0.05289983666503016,0.07518626941451324
ENSG00000172296,0.21018913994914368,0.2240092688938724
ENSG00000131069,0.934154564209414,0.2766957925433346
ENSG00000078804,0.6673658987741251,0.9466631618476917
ENSG00000101384,0.6873143122541151,0.698456214799934
ENSG00000089057,0.0949593985442555,0.17034718675702162
ENSG00000089123,0.6865964019924773,0.677398155498155
ENSG00000132792,0.01061086250946003,0.06054255622854219
ENSG00000149639,0.49972775727782337,0.5448443633662459
ENSG00000101445,0.1592162846712689,0.09494926287703874
ENSG00000101452,0.19703024090546065,0.5673705501260131
ENSG00000124191,0.008743250399058298,0.07435300551079077
ENSG00000064655,0.6603555497747041,0.9453322799173691
ENSG00000062598,0.22758232564015796,0.20024490185216914
ENSG00000198959,0.859545283540927,0.6650200082789015
ENSG00000042062,0.6591441804446398,0.32948669770812933
ENSG00000158480,0.7780694557009149,0.5047910939828193
ENSG00000101447,0.0033707899577320112,0.009251843006402189
ENSG00000197496,0.11874673093481633,0.2637860024165409
ENSG00000124249,0.6078265524689632,0.6260773772113797
ENSG00000149654,0.029364454630201604,0.21480675168601113
ENSG00000124226,0.023176762966756487,0.2654599974144733
ENSG00000080189,0.6209877057366988,0.5962690778039059
ENSG00000088298,0.35429580024395657,0.03593788837319835
ENSG00000124151,0.07059072659532427,0.0452231974274699
ENSG00000124126,0.8343513047949882,0.7200670292308695
ENSG00000182621,0.5692010085817276,0.1323230631253411
ENSG00000054793,0.6376803121029506,0.2187065771094499
ENSG00000125970,0.0860053560834997,0.10312667306070764
ENSG00000124216,0.7742475384709356,0.666943925225313
ENSG00000132825,0.3982030106018616,0.86920474783996
ENSG00000101132,0.7689661288139618,0.18252229719902463
ENSG00000101182,0.005858188149702109,0.1961432943400921
ENSG00000197586,0.30294996616751757,0.1490652617542185
ENSG00000130701,0.2964014367118893,0.2740405142692552
ENSG00000101439,0.7875463577221888,0.7289883313346742
ENSG00000101193,0.4673836763006578,0.03724699624240853
ENSG00000124225,0.6858107188186378,0.9948693911336739
ENSG00000101365,0.16329974626799296,0.3169267623671054
ENSG00000124164,0.08403511901152008,0.03759838193188814
ENSG00000132821,0.2298202077810289,0.3939069589202826
ENSG00000125977,0.11111838702466753,0.12168342184496819
ENSG00000203883,0.04776975605632122,0.03601105405172658
ENSG00000154930,0.847158943104573,0.7974861104029242
ENSG00000101134,0.6854822496897314,0.3773495047400601
ENSG00000158470,0.18482813397913314,0.35410071847941804
ENSG00000020256,0.2687667549661148,0.18557707088285863
ENSG00000101115,0.32573523902037377,0.03277395966910012
ENSG00000101144,0.17407064563381938,0.08934559836678496
ENSG00000101407,0.04790993492739966,0.14157744637759845
ENSG00000101079,0.008070632428509986,0.0032613365738031076
ENSG00000171858,0.5181964771592142,0.2690937001343361
ENSG00000087510,0.4155361612801657,0.179011941236685
ENSG00000184402,0.025591530550662312,0.013201927630770834
ENSG00000101361,0.016779535707699574,0.15417586244476822
ENSG00000101096,0.4373255818926981,0.9921470593254329
ENSG00000196074,0.3889589668915898,0.16001318466849004
ENSG00000130702,0.26079312819672773,0.25843563707388867
ENSG00000149657,0.2186118068247729,0.02141854241803139
ENSG00000171703,0.5226245169761017,0.2193755847458568
ENSG00000196227,0.01767899403963052,0.43481711676835444
ENSG00000080839,0.011554743624404888,0.0023369342867353864
ENSG00000124209,0.04380148471068986,0.08385232832593557
ENSG00000101413,0.038256748302799765,0.02605512007979038
ENSG00000130706,0.0007000019336231165,0.07409035567034665
ENSG00000025293,0.11401023188036177,0.1290262400678173
ENSG00000131067,0.003575163333061579,0.03725143026729478
ENSG00000124145,0.33329960940916914,0.4756676369569436
ENSG00000204070,0.7006970576819442,0.444608751283758
ENSG00000124222,0.6779802176210521,0.3800109517328244
ENSG00000215440,0.6202419435869548,0.28852874782373145
ENSG00000101158,0.9596212841830815,0.0852442760275745
ENSG00000124172,0.08725424473899791,0.5181619254001344
ENSG00000101166,0.019977835022877873,0.09473970310805802
ENSG00000244462,0.019050995175766854,0.5048156275820808
ENSG00000197296,0.32165585132213476,0.8926081833343675
ENSG00000124120,0.07178235424614737,0.14362782601815496
ENSG00000132824,0.062310532262850306,0.10155145839970346
ENSG00000168734,0.2778461946398351,0.23079578445363313
ENSG00000132823,0.20311375042154134,0.9064187346703179
ENSG00000149596,0.009483078086150884,0.14170187799837183
ENSG00000124193,0.14645838509584636,0.3708607802254855
ENSG00000101052,0.8552074595187668,0.13863870900520855
ENSG00000101057,0.00019497318380596218,0.0070840202986836
ENSG00000271303,0.010507719801924897,0.2450039628799736
ENSG00000125821,0.24159039036975033,0.04410864591851158
ENSG00000130703,0.8698381625931095,0.7395317341464605
ENSG00000149658,0.15076175630464958,0.09100241170451887
ENSG00000101197,0.1994438268331105,0.31665729984304536
ENSG00000101198,0.4729311578065367,0.9554988386646264
ENSG00000101199,0.19432276962083175,0.1414598024157195
ENSG00000125863,0.995742733316438,0.5023735455907832
ENSG00000285508,0.017711828850248634,0.12476904935264269
ENSG00000285723,0.099151862428928,0.6273540921275776
ENSG00000125534,0.5453774604621284,0.3488968019608477
ENSG00000088356,0.2858406861019918,0.25999763534983383
ENSG00000101331,0.5322806387145723,0.14834651315496764
ENSG00000126003,0.4025617215450885,0.7046861020591679
ENSG00000101367,0.20599501040879306,0.10516377999409329
ENSG00000101000,0.03291350742081569,0.4531608966831352
ENSG00000126005,0.34103546270582147,0.04719884168177992
ENSG00000125966,0.045920861675592235,0.6128469196547188
ENSG00000198053,0.1405252440489947,0.7026294072805495
ENSG00000149636,0.0049975868293452045,0.005210553907858432
ENSG00000130584,0.9056930821971418,0.9570575550500751
ENSG00000197818,0.6684807933234278,0.9377180882161952
ENSG00000124194,0.08381060762829756,0.1805081917784946
ENSG00000101335,0.025273244102171574,0.12811782702909294
ENSG00000118707,0.8162154171329985,0.3282150155998146
ENSG00000259399,0.040373627018539825,0.6941923789677249
ENSG00000125901,0.6057240249533364,0.039738463963988335
ENSG00000185019,0.2433450138576876,0.2298906439667104
ENSG00000198171,0.5340604649829267,0.933200381698633
ENSG00000125877,0.9980242331753654,0.672954270863277
ENSG00000125968,0.12630406418588921,0.2854255200115013
ENSG00000131055,0.3710532179002206,0.6792857005885565
ENSG00000088325,0.0001670287140967146,0.0037846025690000938
ENSG00000179772,0.3394283620598084,0.022115146011901538
ENSG00000171552,0.7213454652739141,0.440566155895341
ENSG00000088970,0.11497613728728993,0.14913433530668072
ENSG00000125871,0.08362303438319774,0.013191914161542142
ENSG00000232838,0.011868945172328702,0.0074107035148072075
ENSG00000125869,0.19470819287704869,0.4725966525415215
ENSG00000125818,0.1411981713143573,0.4066330870301882
ENSG00000101298,0.15675277777136543,0.24351952438537758
ENSG00000125775,0.18766767794622866,0.5832182484034165
ENSG00000196209,0.29512845029389906,0.9656567515784704
ENSG00000124104,0.6172280534370618,0.6499724310372732
ENSG00000132801,0.6004184422350277,0.7161525276881503
ENSG00000100979,0.020024860216205392,0.1571293567336814
ENSG00000100982,0.7099693651934826,0.09533073675709833
ENSG00000198026,0.6890936141214695,0.5856380090641506
ENSG00000100985,0.1574430583507747,0.17257008349533742
ENSG00000088832,0.6397234289892078,0.3614829454958848
ENSG00000088836,0.42050953022358395,0.2653340507970203
ENSG00000125967,0.06799700805457166,0.2137954448315844
ENSG00000101412,0.00032199901627685395,0.019616594266201444
ENSG00000101417,0.12004017397466808,0.9045346368706669
ENSG00000101421,0.006526825067640732,0.008233315258353954
ENSG00000242372,0.2366763983808654,0.11239418934468126
ENSG00000132646,0.0052471274017643925,0.003823333093509073
ENSG00000101290,0.8686882665566478,0.6841223986227328
ENSG00000089006,0.016029842110696288,0.12106506348468822
ENSG00000149600,0.003604800694805947,0.132171028426205
ENSG00000101349,0.13509481030458995,0.6443327090625152
ENSG00000101160,0.3290706208246672,0.9459791240020533
ENSG00000198900,0.02098851214235231,0.026520179340121745
ENSG00000171867,0.10483018709603552,0.08801989360345877
ENSG00000101265,0.7520557139722956,0.6835449732423944
ENSG00000244005,0.21626537372020935,0.4298790179897014
ENSG00000125995,0.0072668862939912465,0.16434950447517452
ENSG00000131051,0.10322129181648028,0.3957650262431899
ENSG00000214078,0.3523178585224438,0.8052328509766524
