Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.1552776664725435,0.16462610681617154
ENSG00000198692,0.37773237122318815,0.2755222636735203
ENSG00000012817,0.8146671607527495,0.5525221118641822
ENSG00000129824,0.33221752881747224,0.20507189501473438
ENSG00000067646,0.11182094344706256,0.06561059607544238
ENSG00000067048,0.23576237839257086,0.19971716613092227
ENSG00000183878,0.15490320289910867,0.11826259666412835
ENSG00000165246,0.10987832345848159,0.06160930982933596
ENSG00000089012,0.2878288150856692,0.31501501512342983
ENSG00000171984,0.20764056422297228,0.37956630036134476
ENSG00000125827,7.338793233786485e-05,0.00985963718153827
ENSG00000149346,0.4411066570102017,0.15429756246782977
ENSG00000125845,3.5301996149483904e-05,0.00028573267251340317
ENSG00000125898,0.7589804257981168,0.8216233009793776
ENSG00000132640,0.00011710555513729388,0.02598708330109811
ENSG00000089063,0.09547193315851206,0.28765654362396836
ENSG00000088876,0.41758769413582153,0.9124023983240032
ENSG00000101230,0.08145210886838111,0.9708082523817706
ENSG00000284776,0.016403938548979254,0.04982833977791185
ENSG00000101463,0.3355786148406711,0.11221414939571024
ENSG00000088930,0.0007772888071876295,0.018196812036604282
ENSG00000125870,0.5783252268124492,0.4714366453709855
ENSG00000077984,0.6507480683363458,0.28901187509312115
ENSG00000101474,0.2815702087145382,0.9946318657183689
ENSG00000125864,0.0846238675843538,0.01708774641073329
ENSG00000125868,6.231740691862409e-05,0.007818901264009586
ENSG00000125834,0.9089485339703905,0.4203795606507922
ENSG00000198646,0.004612703131916963,0.08200171190277503
ENSG00000172296,3.921390893608665e-07,0.003257242619237271
ENSG00000131069,0.00011065335886704551,0.02871817425083173
ENSG00000078804,3.866861972166415e-09,0.00031209594495935173
ENSG00000101384,6.948050401364266e-05,0.0016087991777040233
ENSG00000089057,0.03280632331337892,0.9915832415240997
ENSG00000089123,0.005805841070889882,0.10796556245596999
ENSG00000132792,0.17427763955413036,0.09331839058205042
ENSG00000149639,0.11152973248530677,0.4197062760259779
ENSG00000101445,1.095102334372632e-06,0.0008113548869226742
ENSG00000149633,0.793728819481869,0.3382022576864654
ENSG00000101452,0.03364774716632232,0.2847675621854874
ENSG00000124191,0.014344379387066116,0.011901247845528587
ENSG00000064655,0.8212107606413488,0.546850031597054
ENSG00000062598,0.01739129505025631,0.028288105688184725
ENSG00000198959,0.39242249384633154,0.29776256867375983
ENSG00000042062,0.020028916819609985,0.8540015028787993
ENSG00000158480,0.0574828741615559,0.1895387055276238
ENSG00000101447,0.003223771413612652,0.01716554100039343
ENSG00000197496,0.9276928736656294,0.19543947359847452
ENSG00000124226,0.00014733802254211255,0.0032342335487560324
ENSG00000080189,0.007257533338002174,0.08243773142198502
ENSG00000198768,3.758961920750315e-07,1.275726631108184e-05
ENSG00000088298,0.22386911247439972,0.8140301262272127
ENSG00000124151,0.000309817217890359,0.02630160884130395
ENSG00000124126,5.422241642478542e-07,0.0001435381785206128
ENSG00000124212,0.14263082595244783,0.16871180114709078
