Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.4522732986479525,0.8548169172768616
ENSG00000198692,0.36939939364585206,0.6701714555466669
ENSG00000012817,0.9282654446256952,0.9700855722147896
ENSG00000129824,0.5657619824727756,0.2994960507490744
ENSG00000067048,0.615676709710534,0.9807972956250907
ENSG00000089012,0.11583435491913532,0.14477016884105798
ENSG00000171984,0.16158838642348158,0.26755248667532755
ENSG00000125827,0.6517816664261937,0.7907188056956624
ENSG00000149346,0.3792493146066549,0.2554508464302364
ENSG00000125845,0.9115949169117484,0.20149755821066587
ENSG00000125898,0.708724057759089,0.5157485127212589
ENSG00000132640,0.261666982858638,0.3557491150112946
ENSG00000089063,0.91318756477866,0.8258847804972428
ENSG00000088876,0.5310998271714952,0.49843818805276063
ENSG00000101230,0.052424031000817016,0.3198212473312135
ENSG00000170367,0.34751577336516215,0.13257338800390725
ENSG00000284776,0.6171846635862621,0.28134284819646865
ENSG00000101463,0.8742022682112195,0.5589941581608847
ENSG00000088930,0.9598639170769571,0.9341803415538036
ENSG00000125870,0.06724522564982463,0.2904315445017292
ENSG00000077984,0.5581362017620509,0.34063580080210937
ENSG00000101474,0.6603450645545524,0.299657482953489
ENSG00000125864,0.027624461141995998,0.010760702913877877
ENSG00000170369,0.018170358128213052,0.0018706191343352701
ENSG00000125868,0.7207305686623013,0.2258804408439785
ENSG00000125834,0.7269224042402773,0.5935048541518727
ENSG00000198646,0.4670906224456456,0.5034129856543909
ENSG00000172296,0.10839633512511891,0.968941099622166
ENSG00000131069,0.16632245087970066,0.28510248242032293
ENSG00000078804,2.5430912314322827e-05,0.009593865040103055
ENSG00000101384,0.23659476206517796,0.34572038425086327
ENSG00000089057,0.08790512224916515,0.23655976996637276
ENSG00000089123,0.9218380632279474,0.7834267699308244
ENSG00000132792,0.9183238657366505,0.7577370512430828
ENSG00000149639,0.45580251444871034,0.5319350275527869
ENSG00000101445,0.8194390837587068,0.43090893667566177
ENSG00000149633,0.010135508277018878,0.17754774600151832
ENSG00000101452,0.7376894979778637,0.9562874208141761
ENSG00000124191,0.005935811291798624,0.035107537830874426
ENSG00000064655,0.0034790132422600753,0.0052968691753537325
ENSG00000062598,0.5733310436491481,0.8177794275851855
ENSG00000198959,0.09410326098138579,0.10790289887979293
