Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000198692,0.21297713772618693,0.4166548685248339
ENSG00000258992,0.04758692297826824,0.01563352573004143
ENSG00000012817,0.08783431308841155,0.20308769419067954
ENSG00000129824,0.15542054235615727,0.44954463794521415
ENSG00000067048,0.2829921133439932,0.4834783008910363
ENSG00000183878,0.1545688385458914,0.28878005221844205
ENSG00000129864,0.05187209228349839,0.041223773492296265
ENSG00000168757,0.033450257778676135,0.03999631271651375
ENSG00000129862,0.07111194064063214,0.10012469844930588
ENSG00000233803,0.0061713982105386905,0.0019281784420917252
ENSG00000238074,0.02121319163704456,0.00774734390580307
ENSG00000089012,0.2990163220336327,0.35901702320699425
ENSG00000171984,0.006055478767467183,0.03148073971244395
ENSG00000125827,0.8815548720732995,0.8013680646929154
ENSG00000149346,0.2879120439718482,0.2761948640961093
ENSG00000125845,0.05576319100244179,0.09891384285928168
ENSG00000125898,0.006073848395939856,0.0099905274161854
ENSG00000132640,0.021767196867983684,0.06059506600101129
ENSG00000089063,0.06656425431723868,0.07676923439125334
ENSG00000088876,0.03389254568432527,0.031609426917044874
ENSG00000101230,0.7501354643540328,0.7619016345774718
ENSG00000284776,0.0035403726725182576,0.01321233265843297
ENSG00000101323,0.009670696744734563,0.057050316429002636
ENSG00000088930,0.008675141578178431,0.02871725194229769
ENSG00000286022,0.3539911549001321,0.2792268153958999
ENSG00000125870,0.00015199047618690473,0.00036641630563749415
ENSG00000077984,0.10712502390383778,0.2232257593011484
ENSG00000101474,0.336643382215478,0.48623534261411006
ENSG00000170369,0.24331716941158654,0.4853739018448877
ENSG00000125868,0.07502817768060815,0.19574595228202926
ENSG00000125834,0.022625248251104114,0.05405131970904874
ENSG00000198646,0.037499629745136695,0.12981245628276222
ENSG00000172296,0.14431426548419407,0.054989719292140964
ENSG00000131069,0.6309115999277668,0.9646757206689759
ENSG00000078804,0.7425776653135873,0.8229156283633933
ENSG00000101384,0.6139633791160543,0.7927210580853666
ENSG00000089057,0.21009952128010034,0.32579784094113295
ENSG00000089123,0.13629575984642744,0.23586509402633882
ENSG00000132792,0.050603900356565625,0.0625682553732272
ENSG00000149639,0.009168844741720068,0.031094161589926336
ENSG00000101445,0.5622334318673176,0.6398261055432806
ENSG00000149633,0.6866183986818257,0.3538804099314259
ENSG00000101452,0.08976405596876955,0.09888573420093848
ENSG00000124191,0.05555861770350305,0.1503218049163376
ENSG00000062598,0.0015613783461197435,0.005372309596131244
ENSG00000198959,0.8152721448382796,0.9352983481624232
ENSG00000158480,0.07113649485423514,0.1368901784710432
ENSG00000101447,7.368314780275924e-05,0.0008025870407922715
ENSG00000197496,0.7563342899607072,0.9561009224488864
ENSG00000158445,0.09630852457506439,0.1199546481232783
ENSG00000124226,0.08027774513361202,0.17787370062623423
ENSG00000080189,0.0016110247255397931,0.010732009081418841
ENSG00000088298,0.003067332861016154,0.008962267776928785
ENSG00000124151,0.2904566150929614,0.33286239380904353
ENSG00000124126,0.9218519193224888,0.7897635780354944
ENSG00000124212,0.8730503667797831,0.784938039730751
ENSG00000182621,0.01733091890633814,0.044189123488761806
ENSG00000054803,0.788578294835232,0.5618722357348751
ENSG00000054793,0.1321794493623359,0.14242777017088892
ENSG00000125970,0.0032253932803161605,0.028503760468244252
ENSG00000124216,0.7650218266594767,0.960216224122109
ENSG00000101194,0.13833014959150305,0.21798597917584037
