Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.7740771956822448,0.4107121643970296
ENSG00000198692,0.644385710970321,0.9511868989654503
ENSG00000012817,0.9882048764524597,0.5550267053040792
ENSG00000129824,0.7799982404005241,0.6827121080197254
ENSG00000067646,0.9906571817268426,0.5345079226856736
ENSG00000067048,0.9766628464406389,0.5732880455467703
ENSG00000183878,0.5954489189725465,0.34885773419218835
ENSG00000129864,0.07497036928448977,0.039704514154695385
ENSG00000233803,0.005696131191964445,0.0028415254738457397
ENSG00000101282,0.9589918787397723,0.3322749273710009
ENSG00000089012,0.2048283688434147,0.2659066901665894
ENSG00000171984,0.11573128659991179,0.18813492903724469
ENSG00000125827,0.05822598454987084,0.16314887529775773
ENSG00000149346,0.6050028663621232,0.37742255664982116
ENSG00000125845,0.4862935709510775,0.370470892349257
ENSG00000125898,0.8307053363093023,0.8900681486279494
ENSG00000173404,0.9183745533044486,0.980709349464183
ENSG00000132640,0.14878285106895323,0.09189771280826081
ENSG00000089063,0.06728447357935721,0.2459081328723268
ENSG00000125851,0.31904464206372124,0.35778521957475407
ENSG00000088876,0.7515527159704382,0.6939796499250873
ENSG00000101230,0.7041843132795811,0.9571260817672921
ENSG00000170367,0.01940241747883692,0.08087543280820043
ENSG00000284776,0.4153324616691171,0.5212868095604883
ENSG00000101463,0.3708574106035031,0.5442137928324495
ENSG00000088930,0.3516902527106083,0.37899559405771477
ENSG00000125870,0.06786761237927387,0.055738538646216605
ENSG00000077984,0.10767006305939715,0.017973905172584577
ENSG00000101474,0.21129919715335932,0.259567595074298
ENSG00000125864,0.4721095206422111,0.5986789525580369
ENSG00000149435,0.00028310591517981444,0.01200737905157814
ENSG00000170369,0.6147889766753136,0.5881518878563304
ENSG00000125868,0.578146845167165,0.5559802196725776
ENSG00000125834,0.18946464674831862,0.45015058342630254
ENSG00000198646,0.3051771288233335,0.6505435194397655
ENSG00000172296,0.8461371811038438,0.21902569451516218
ENSG00000131069,0.7304457049208288,0.5579455911987348
ENSG00000078804,0.09227360297496018,0.2519813396595202
ENSG00000101384,0.001793505696246395,0.0032537283669619326
ENSG00000089057,0.21094765663669696,0.19308034784076308
ENSG00000089123,0.9309392719853448,0.7675300757060686
ENSG00000132792,0.054077057809402494,0.13315128623550446
ENSG00000149639,0.5010733462260493,0.8544954387244826
ENSG00000101445,0.035901214608597416,0.16223485899752968
ENSG00000149633,0.27330113664093664,0.2916373980815939
ENSG00000101452,0.37937718359836925,0.19712529456174743
ENSG00000124191,0.8894566971966826,0.9908632211819111
ENSG00000064655,0.4691122610895214,0.34026698953241624
ENSG00000062598,0.12330850320014902,0.20320203114972796
ENSG00000198959,0.5493976595055965,0.8619015801946943
ENSG00000158480,0.5731388730221663,0.900316530217296
ENSG00000101447,0.00042724089294172827,0.006111013288300675
ENSG00000197496,0.32654750996264903,0.29600174105464344
ENSG00000124249,0.880554410865672,0.7459756980156059
ENSG00000124226,0.8235192010195884,0.9731037582613226
ENSG00000080189,0.5814834397091918,0.7356573796989896
ENSG00000088298,0.9423870268650614,0.503322269524313
ENSG00000124151,0.42053060361397054,0.6328515748733918
ENSG00000124126,0.23417972830218772,0.186153479759325
ENSG00000124212,0.6118261715855025,0.6598813684608831
ENSG00000182621,0.16357271557311517,0.40939965333338024
ENSG00000054793,0.24844965501145153,0.26228875437159976
ENSG00000125970,0.9972660408559783,0.6766818385878578
ENSG00000124216,0.002937046686146687,0.03483996096522305
ENSG00000101194,0.4006957807496436,0.15392315656021535
ENSG00000132825,0.3465721832000981,0.5360172509726896
ENSG00000101132,0.016346699529660298,0.024146837705021493
ENSG00000101182,0.35890398354698283,0.3890535884541675
ENSG00000124215,0.0004877140792961553,0.008432254067862596
ENSG00000197586,0.3271059062104983,0.12386352882268893
ENSG00000130701,0.20775135467668215,0.21846114450757
ENSG00000101439,0.27347194979985257,0.429678222420142
ENSG00000101193,0.17553374131749078,0.3922682862035032
ENSG00000124225,0.00022751541757804264,0.0021602607921522928
ENSG00000101365,0.08953573979408201,0.12831635308081837
ENSG00000124164,0.8711684509990767,0.6006785247596991
ENSG00000182463,0.02864638089699719,0.03250195365119013
ENSG00000132821,0.8802254021852554,0.5901758751418853
ENSG00000125977,0.004292943617548973,0.037972802744213593
ENSG00000203883,0.23474974546610225,0.19369559912884365
ENSG00000154930,0.0004749747778548944,0.025427253126425842
ENSG00000101134,0.7686399864693354,0.6332918056025998
ENSG00000158470,0.7847011065188231,0.8521155422338137
ENSG00000020256,0.029084099881752017,0.153260063490682
ENSG00000101115,0.7292532846211133,0.6866973436927102
ENSG00000101144,0.031669300112443774,0.0461273188866448
ENSG00000101407,0.12939402233164937,0.45396749530304314
ENSG00000101079,0.3522947940192559,0.5054545707908668
ENSG00000171858,0.6194202137558938,0.7651444680097093
ENSG00000087510,0.8614412737023616,0.9652994380435325
ENSG00000184402,0.03488231937260564,0.15393897408589213
ENSG00000101361,0.03758758163328148,0.12526404195607935
ENSG00000101096,0.10856754260966567,0.15534008861913498
ENSG00000196074,0.3585398364900382,0.344397892627751
ENSG00000130702,0.17112168026293,0.22042377540188238
ENSG00000149657,0.33997363905794453,0.4145147035102884
ENSG00000087495,0.4666429093995148,0.9601799027653546
ENSG00000171703,0.743516728561609,0.8921988746839229
ENSG00000129988,0.43515012580723733,0.8034959924893219
ENSG00000196227,0.08364229504779991,0.11827263255265436
ENSG00000080839,0.1970853644640308,0.3825334262919404
ENSG00000124209,0.9680245487074035,0.9239172892891209
ENSG00000101413,0.1701954635800976,0.4430511050449333
ENSG00000130706,0.08676539702470738,0.16647115333941545
ENSG00000025293,0.7405129072521728,0.8567967739474566
ENSG00000131067,0.13995508650750932,0.21800047594064903
ENSG00000124145,0.8684557800094826,0.7621739838396978
ENSG00000204070,0.06655996879701141,0.10701288010051073
ENSG00000124222,0.3748162192703661,0.6890480889013939
ENSG00000215440,0.4111412424133585,0.46677468120620236
ENSG00000101158,0.6006938635610083,0.6135796119020346
ENSG00000124172,0.9074865285404686,0.46893715962137184
ENSG00000101166,0.3254274925299747,0.34235882766292913
ENSG00000125965,0.745557214194388,0.5178780758447936
ENSG00000244462,0.44865022629709794,0.834464929078874
ENSG00000197296,0.15422452036118497,0.12936915741460767
ENSG00000124120,0.44809693466027056,0.9151973866301225
ENSG00000132824,0.4744308177201719,0.6835147296425846
ENSG00000168734,0.20396630159367118,0.19245360139032516
