Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.3289413376531485,0.32763863730030046
ENSG00000198692,0.5583035721067429,0.6520435367419689
ENSG00000258992,0.42918393982584613,0.34149493966051664
ENSG00000012817,0.5034810533161663,0.5076411883269565
ENSG00000205916,0.8598935215328832,0.8034534495207604
ENSG00000129824,0.31209310414636043,0.3946686968311055
ENSG00000067646,0.5602815428639134,0.6831137967154925
ENSG00000067048,0.43060593439312833,0.4788550873625532
ENSG00000183878,0.5273849003630094,0.5674433003137707
ENSG00000154620,0.7752836001209792,0.8429046950483935
ENSG00000168757,0.6462427793344192,0.7084753240431864
ENSG00000165246,0.6368895496178231,0.7464405769450132
ENSG00000233803,0.46905374548130563,0.39967981783128514
ENSG00000238074,0.5547041516916615,0.5349853521474781
ENSG00000101282,0.3085327172086367,0.21770863156030695
ENSG00000089012,0.6652612661892975,0.7449303095533742
ENSG00000171984,0.5501282513686936,0.7586526001438088
ENSG00000125827,0.01652840158544485,0.019004936182306937
ENSG00000149346,0.23993274840649031,0.1722752631608792
ENSG00000125845,0.012690492438430697,0.009785983867426578
ENSG00000125898,0.058581836043139095,0.052239520004913796
ENSG00000173404,0.2003020432776299,0.19517375273957177
ENSG00000125788,0.04747165784288245,0.03149169195806391
ENSG00000132640,0.06579930267601983,0.04869620957856316
ENSG00000089063,0.44846151853118954,0.6098736737617467
ENSG00000125851,0.053896962654331,0.07376427909493265
ENSG00000088876,0.35183018482206696,0.331163543408584
ENSG00000101230,0.6723953608054509,0.692801805742222
ENSG00000284776,0.42561016950065134,0.3743049561437337
ENSG00000101463,0.5313983635612856,0.5714249634423006
ENSG00000088930,0.18678315622767988,0.21187489492076733
ENSG00000125870,0.558129406890264,0.6004727144272601
ENSG00000077984,0.5403126830524518,0.44648472272576467
ENSG00000101474,0.5451483568746618,0.852335932313215
ENSG00000125864,0.9334398571543723,0.9199711923268039
ENSG00000149435,0.026788118766748196,0.009857902823291444
ENSG00000170369,0.08177526863429195,0.13630519614711004
ENSG00000125868,0.10724839109681744,0.1291797498040841
ENSG00000125834,0.08783556341734022,0.08236472766443154
ENSG00000198646,0.5984346015014264,0.6066500257190215
ENSG00000172296,0.1700521987448679,0.1397956252698192
ENSG00000131069,0.1573796239887548,0.18514835902654173
ENSG00000078804,0.8116069184080273,0.9340091790352806
ENSG00000101384,0.26844757733037095,0.2996956770862954
ENSG00000089057,0.20611603888283636,0.2709714775379363
ENSG00000089123,0.2641685582519527,0.2650643874070822
ENSG00000132792,0.6829449885979477,0.7044722324673021
ENSG00000149639,0.9852541717348002,0.8663081564257343
ENSG00000101445,0.568766068835229,0.445722513142655
ENSG00000149633,0.29274506488365204,0.3165556292328655
ENSG00000101452,0.4072766911362441,0.5399509972905259
ENSG00000124191,0.20549764863398415,0.0946484200553059
ENSG00000064655,0.5329231265406305,0.6837666328766414
