Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000101282,0.00810073121777008,0.008455758875213305
ENSG00000089012,0.11578310705669125,0.19810170022144358
ENSG00000171984,0.48023391423838657,0.4554136942368282
ENSG00000125827,0.9588465650969149,0.9700692254311643
ENSG00000149346,0.8322961666234809,0.7170695814427257
ENSG00000101327,0.823702928543609,0.9895744592978178
ENSG00000125898,0.21796344131548126,0.19433016637864195
ENSG00000125788,0.510962988655087,0.5325261235949545
ENSG00000132640,0.8131565198974441,0.7958897139934624
ENSG00000089063,0.9242588231508255,0.9762684334462902
ENSG00000125851,0.748812078388943,0.8075030335532631
ENSG00000088876,0.4546870702336596,0.34969623876360034
ENSG00000101230,0.2611387086133665,0.33904028611590936
ENSG00000170367,0.6587268091842519,0.570586330309431
ENSG00000284776,0.6713417192230609,0.5880818981831267
ENSG00000101463,0.6557341928279796,0.6242096742310813
ENSG00000088930,0.42089035439134415,0.31249439045834077
ENSG00000125870,0.26026573088062677,0.1925341942466477
ENSG00000077984,0.7516334455887312,0.8185223692517172
ENSG00000101474,0.06372874491382012,0.04306291670796233
ENSG00000170369,0.11118828532939194,0.09463219634364509
ENSG00000125868,0.9983008627697867,0.8253115315320227
ENSG00000125834,0.14719765958287215,0.08190139717138217
ENSG00000198646,0.6103009281642611,0.4706424046980101
ENSG00000172296,0.5331879845144196,0.397787528643468
ENSG00000131069,0.32014660063732975,0.23307666120993387
ENSG00000078804,0.7339947613977258,0.7260667284084092
ENSG00000101384,0.7500439885097191,0.647309305690913
ENSG00000089057,0.07006575187260387,0.033567205803977054
ENSG00000089123,0.1269852230393744,0.1331265805241589
ENSG00000132792,0.21871198270264222,0.21590846729936436
ENSG00000149639,0.01757559417671962,0.01290581088046029
ENSG00000101445,0.15253016487521318,0.0992981391480283
ENSG00000149633,0.02724587197520518,0.018523450804055354
ENSG00000101452,0.07563749729174682,0.060061731567566924
ENSG00000124191,0.4677121739598885,0.4100052363819563
ENSG00000064655,0.41415188208100817,0.4001168175356947
ENSG00000062598,0.3021116918713764,0.201134086335269
ENSG00000198959,0.11759012585664254,0.09720884731245533
ENSG00000158480,0.11955559316914477,0.09981754448948275
ENSG00000101447,0.5039755917195895,0.5180325195593549
ENSG00000197496,0.7917419963484985,0.7708459153870966
ENSG00000124249,0.29319512226439504,0.2653546624983603
ENSG00000149654,0.012613898478951974,0.009935106539027214
ENSG00000124226,0.27117903897290324,0.2777521085597199
ENSG00000080189,0.25634590795152956,0.21253083360824812
ENSG00000088298,0.8602677833353525,0.7252573534931032
ENSG00000124151,0.07501341400891368,0.0484545789419468
ENSG00000124126,0.19938307565017685,0.09903423598005762
ENSG00000124212,0.03857821395123842,0.038780052440161805
ENSG00000182621,0.8599157591254465,0.8761807529065476
ENSG00000054793,0.3296275794286224,0.30530317890184616
ENSG00000125970,0.40490481954842494,0.35233904484420975
ENSG00000124216,0.028284209242112272,0.036124153063825624
ENSG00000101194,0.499952755047922,0.41116520596652584
ENSG00000132825,0.7155623194698069,0.7247414827003542
ENSG00000101132,0.6075239975985756,0.8074170272471912
ENSG00000101182,0.7476118724701271,0.6070031194501375
ENSG00000197586,0.3464503468140169,0.219705560018614
ENSG00000130701,0.806784603543462,0.8355683401959372
