Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.2998042856962638,0.2018263094761857
ENSG00000198692,0.4185984247805711,0.32540271188272507
ENSG00000012817,0.38732153635850664,0.19981242458293344
ENSG00000129824,0.5147058615492457,0.36002818222404
ENSG00000067646,0.3257556010352928,0.2131153875928496
ENSG00000067048,0.6132556969123224,0.4407087582211321
ENSG00000183878,0.45492678442414347,0.30029296605340017
ENSG00000089012,0.5098038167117847,0.25638590756971225
ENSG00000171984,0.25055539143868794,0.35745462906387837
ENSG00000125827,0.012811251296614102,0.13524508033377816
ENSG00000149346,0.11583903114490102,0.24352976940173762
ENSG00000125820,0.0014466106833946762,0.061925861671938386
ENSG00000125845,0.04620334505904145,0.18570037259972647
ENSG00000125898,0.23465652896558134,0.5077051496923921
ENSG00000173404,0.0007917280032855178,0.035974837833171874
ENSG00000132640,0.07576979647410338,0.26341158664700515
ENSG00000089063,0.9665873571590063,0.6909751997415784
ENSG00000125851,0.005654144829623432,0.15905965979498518
ENSG00000088876,0.7671262394208971,0.6872892958096063
ENSG00000101230,0.1553647542634526,0.36961163032549715
ENSG00000284776,0.7430681110944408,0.17021748858397362
ENSG00000101463,0.9644829460548511,0.4892751156173605
ENSG00000088930,0.06578203707481743,0.16638899875476473
ENSG00000125870,0.20668168749054133,0.28941100702923905
ENSG00000077984,0.7929067089827382,0.6764106991396635
ENSG00000101474,0.15729562017473944,0.41164696790370525
ENSG00000125864,0.4624535502409036,0.4055901435348135
ENSG00000170369,0.10980379075166631,0.42037872081890626
ENSG00000125868,0.21990626614712067,0.26545520029601144
ENSG00000125834,0.8126135776250166,0.9312431059523013
ENSG00000198646,0.3573089248124617,0.35613843038503457
ENSG00000172296,0.0012030440610779685,0.008069954661082058
ENSG00000131069,0.7610735727594112,0.6215624875653336
ENSG00000078804,0.19059777706847653,0.1878947991729201
ENSG00000101384,0.0005904120044324095,0.007614478122608373
ENSG00000089057,0.006064078415152933,0.05085374699143237
ENSG00000089123,0.8061082759119937,0.8363498575514893
ENSG00000132792,0.3454905010706347,0.39287542143201026
ENSG00000149639,0.03703444084884048,0.15612893557606233
ENSG00000101445,0.036208544778416125,0.0788727119037993
ENSG00000149633,0.6781328583019669,0.6716715512275614
ENSG00000101452,0.48291640284547366,0.48421666783732564
ENSG00000124191,0.7892870037158832,0.7527049396636231
ENSG00000064655,0.4767347715090673,0.981438303429226
ENSG00000062598,0.05139756451730266,0.16542758545183583
ENSG00000198959,0.0021906983538787965,0.0202991255973081
ENSG00000158480,0.0729575720308213,0.06570770425797356
ENSG00000101447,0.0028508363136255915,0.030014629932245313
ENSG00000197496,0.004880882283329776,0.11169991116380852
ENSG00000124249,0.4249639753962088,0.34337187651766377
ENSG00000149654,0.27190130443527283,0.9656679176899388
ENSG00000124226,0.4622674386487745,0.8058258960615579
ENSG00000080189,0.9154410428399622,0.9525803800138378
ENSG00000198768,0.08521356125616136,0.12485867399982835
ENSG00000088298,0.11475249086997694,0.2306753522937789
ENSG00000124151,0.21008902467929558,0.39235657768512455
ENSG00000124126,0.41080230820016816,0.48213636460081133
ENSG00000124212,0.1270928828129914,0.3475802090537037
ENSG00000182621,0.1389767226799865,0.10898310074972364
ENSG00000054793,0.04491038857190013,0.14128437644467598
ENSG00000125970,0.09772687543925261,0.30422591092291323
ENSG00000124216,0.3138485959004319,0.4875116781886981
ENSG00000101194,0.17859472232825635,0.801528861889413
ENSG00000132825,0.443507554310435,0.5200489535251815
ENSG00000101132,0.8903238570040934,0.7723931413482453
ENSG00000101182,0.29674684112628746,0.677692455459217
ENSG00000197586,0.7754993327529139,0.8855550591726775
ENSG00000130701,0.12142903008185167,0.506611524032712
ENSG00000101439,0.023900711328886083,0.050349901878683836
ENSG00000101193,0.4760214511941361,0.5755359429929119
ENSG00000124225,0.0022845964322327455,0.025442594461200976
ENSG00000101365,0.3497531097925758,0.3912701653813795
ENSG00000124164,0.31581663716571307,0.5862118395361933
ENSG00000182463,0.8389033881827507,0.5891050710591077
ENSG00000132821,0.7550404170851613,0.39909354153795296
ENSG00000125977,0.003702005562443492,0.018885501485677778
ENSG00000203883,0.007140755247256917,0.029079453735656124
ENSG00000154930,0.31943605005739734,0.005658372650816672
ENSG00000101134,0.2356700655559092,0.6654836188282154
ENSG00000158470,0.0017479471118206772,0.015283016527307023
ENSG00000020256,0.2961225322671092,0.5681885823671922
ENSG00000101115,0.04698621080796701,0.05842635098970871
ENSG00000101144,0.06609953658287991,0.037514475860646115
