Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000198692,0.045838471591804736,0.06816624850037001
ENSG00000012817,0.05059199029738349,0.07268434227102735
ENSG00000129824,0.04954605318178091,0.04924172854626973
ENSG00000067646,0.045238345346592664,0.06375912134198068
ENSG00000067048,0.04986572063807374,0.06764677588390015
ENSG00000183878,0.043420936875869204,0.061435926397466895
ENSG00000154620,0.13061994804982457,0.1316560055701006
ENSG00000089012,0.39406487518475286,0.781867154401682
ENSG00000171984,0.5778091143914574,0.5186789766170048
ENSG00000125827,0.6436621090641357,0.6893195548957765
ENSG00000149346,0.22142350338809302,0.180634216835857
ENSG00000125845,0.015627511562755318,0.04417463742721616
ENSG00000125898,0.6103157751491202,0.8697864659139694
ENSG00000132640,0.12678325105747446,0.27418815059659984
ENSG00000089063,0.32932606320649277,0.27525312969159343
ENSG00000088876,0.03319774246966856,0.09737016225559394
ENSG00000101230,0.4986638997069537,0.20579997900227584
ENSG00000284776,0.11063548300933704,0.12564859416713714
ENSG00000101463,0.5400282520873558,0.26524812103391926
ENSG00000088930,0.05185701707601742,0.11728394091503608
ENSG00000125870,0.305403295667283,0.23564237285331266
ENSG00000077984,0.6923525101869639,0.7569612286416876
ENSG00000101474,0.20079856146957084,0.30742407990775955
ENSG00000125864,0.35666022885720094,0.5189593532970214
ENSG00000170369,0.025807513119760157,0.001247166562191319
ENSG00000125868,0.4230609598056774,0.5369247774727102
ENSG00000125834,0.26799540445300496,0.3129280035061297
ENSG00000198646,0.08518676986431602,0.11331076646991046
ENSG00000172296,0.09452438984881673,0.4285678470806802
ENSG00000131069,0.010142253681151042,0.07226321610084718
ENSG00000078804,0.3942028491407118,0.5593126449898265
ENSG00000101384,0.15905286240614855,0.37276170171999423
ENSG00000089057,0.42651418710660194,0.793895003411402
ENSG00000089123,0.01841597038902744,0.046342203610763674
ENSG00000132792,0.2078508504907201,0.16168844740512645
ENSG00000149639,0.5247820025045982,0.7389462830968005
ENSG00000101445,0.21534943446681512,0.6163966782658231
ENSG00000149633,0.7681592979097123,0.8894046176442921
ENSG00000101452,0.03796939837533603,0.07238533358408931
ENSG00000124191,0.027271245379251227,0.2782176105080187
ENSG00000064655,0.749512709997826,0.46255684282351317
