Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.021352945787179153,0.022745282873833015
ENSG00000198692,0.24150518155899084,0.6590199061731944
ENSG00000012817,0.117927269368873,0.21383506528238255
ENSG00000129824,0.2955572369324381,0.6524542189130431
ENSG00000067646,0.08739585733408425,0.2726140243412256
ENSG00000067048,0.24008794708126027,0.4071792180643641
ENSG00000183878,0.0631632662763115,0.19020614751757645
ENSG00000129864,0.18377913994258394,0.20460173771387535
ENSG00000129862,0.06429398839574857,0.09939407473686433
ENSG00000233803,0.19788892675822303,0.24058397581047852
ENSG00000260861,0.9813916002861232,0.3386988155306151
ENSG00000101282,0.22768842325140498,0.08851078555979053
ENSG00000089012,0.023991161840690934,0.04602082933296524
ENSG00000171984,0.6101482923859367,0.6653256798249394
ENSG00000125827,0.9834581459921645,0.17622185151746997
ENSG00000149346,0.22368903351210273,0.4506722350780096
ENSG00000125820,0.9620575063544972,0.9090119079343418
ENSG00000125898,0.33302358339483773,0.026135349127869155
ENSG00000132640,0.34268131112435507,0.28371769326578267
ENSG00000089063,0.8389620689756879,0.9171528758718959
ENSG00000125851,0.7081937522485371,0.963689109098074
ENSG00000088876,0.507936504470803,0.5905020672785559
ENSG00000101230,0.699813484267792,0.8691447194528834
ENSG00000170367,0.6824684029245283,0.6711571642225738
ENSG00000284776,0.6740836361429159,0.36356367740458506
ENSG00000088930,0.8726137514986352,0.515220593078573
ENSG00000125870,0.763333449844811,0.7171651415571311
ENSG00000077984,0.023401368943184866,0.05213320257628915
ENSG00000101474,0.8682516470520558,0.7521658550396445
ENSG00000125864,0.23760616481626276,0.032346219492647474
ENSG00000170369,0.8854388152065302,0.9421664347662159
ENSG00000125868,0.27237458335940834,0.40209061218949094
ENSG00000125834,0.9084141730827044,0.3447449440594357
ENSG00000198646,0.6224589663263996,0.2177222069299301
ENSG00000172296,0.5806882225315679,0.10580591292190317
ENSG00000131069,0.22646087537154824,0.5153373879827041
ENSG00000078804,0.7963408599916648,0.617745672316522
ENSG00000101384,0.5328928423682511,0.6163423077254057
ENSG00000089057,0.5623293940913343,0.6281392787412824
ENSG00000089123,0.10487379340382313,0.29021075288721904
ENSG00000132792,0.7046272676629866,0.863989131571609
ENSG00000149639,0.8368811352125027,0.28516626820111063
ENSG00000101445,0.5547349975778342,0.7044214024021345
ENSG00000149633,0.7251040976492771,0.3057347614214058
ENSG00000101452,0.6354600101211196,0.06730807331738826
ENSG00000124191,0.4842616282473382,0.8957418472034548
ENSG00000064655,0.9120690274725108,0.21547027724062712
ENSG00000062598,0.5537840918318261,0.18879207728821995
ENSG00000198959,0.42871118675913367,0.8087760931346212
ENSG00000158480,0.6077368298371094,0.5105279715311675
ENSG00000101447,0.26167913835489826,0.06437886697949413
ENSG00000197496,0.22113819653175718,0.12985227446216832
ENSG00000124249,0.8088023961227745,0.42782112706948106
ENSG00000124226,0.013229359615637233,0.0957921837645433
ENSG00000080189,0.48535440770910987,0.14311335122006955
ENSG00000088298,0.9140378051784684,0.8380680005211725
ENSG00000124151,0.2390031647514344,0.04591023597988575
ENSG00000124126,0.14818800743123148,0.019858622614760825
