Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.14652584872669114,0.22627954765051775
ENSG00000198692,0.18057097393175364,0.2606892289986184
ENSG00000012817,0.2522615784963564,0.290569360043257
ENSG00000205916,0.9948374771522008,0.9197262552970973
ENSG00000129824,0.12363523815990017,0.1960736668392009
ENSG00000067646,0.2857057672791625,0.3777358656111235
ENSG00000067048,0.1546086082180946,0.1759834299095413
ENSG00000183878,0.2330208263574616,0.21253001772913083
ENSG00000205944,0.988193534608197,0.7999670530166114
ENSG00000165246,0.0736040963272862,0.058342380728771605
ENSG00000233803,0.4605961646514132,0.6883749703658815
ENSG00000238074,0.4573381746447637,0.6797272335886495
ENSG00000171873,0.0773509727208142,0.014179945619292138
ENSG00000101282,0.24842104884243404,0.43173996987206775
ENSG00000089012,0.5136517480160485,0.4257096266553101
ENSG00000171984,0.8450364039465256,0.4525577390873178
ENSG00000125827,0.7100013468609816,0.8810962947272468
ENSG00000149346,0.30627190734810983,0.3848501326452337
ENSG00000125820,0.21757748646172714,0.1886428836026372
ENSG00000125845,0.6330323796227324,0.6077324104282227
ENSG00000125898,0.41564786588127145,0.5470104262032733
ENSG00000173404,0.45996068436055915,0.38389652525859785
ENSG00000132640,0.20848691701030944,0.20484909602319132
ENSG00000089063,0.8172749824828731,0.6288496893491614
ENSG00000088876,0.31106109120780573,0.28263224509841833
ENSG00000101230,0.018793918651163772,0.035188070370215666
ENSG00000284776,0.6362897256567497,0.5729122939673421
ENSG00000101463,0.0721730086629943,0.09429522548359498
ENSG00000088930,0.8376185418042188,0.9069707386470278
ENSG00000125870,0.4353750503383943,0.38086162976557314
ENSG00000077984,0.3110217361797719,0.32021676379226655
ENSG00000101474,0.7561584985734257,0.8923260154615071
ENSG00000125864,0.687175143681023,0.4768545603706751
ENSG00000170369,0.003519857423075277,0.0070511237142463195
ENSG00000125868,0.6216574911079223,0.42499462974980795
ENSG00000125834,0.7517267148861619,0.6609467288109498
ENSG00000198646,0.7353560395293008,0.8623895510804741
ENSG00000172296,0.31851794799039385,0.32834327214941134
ENSG00000131069,0.9591776424450755,0.9133882452863249
ENSG00000078804,0.207095615665147,0.13491118381154862
ENSG00000101384,0.7329224420671152,0.9656452276093014
ENSG00000089057,0.8043790873509252,0.6521160242215644
ENSG00000089123,0.3401838049234897,0.3128862996661566
ENSG00000132792,0.4166520027309061,0.5690798446387391
ENSG00000149639,0.20524027907458423,0.15267132655391902
ENSG00000101445,0.600314808682862,0.4982757655488964
ENSG00000149633,0.10409015011037827,0.11212469293582787
ENSG00000101452,0.3765986224018112,0.5624127360652527
ENSG00000124191,0.15613333981431932,0.23848267076172333
ENSG00000064655,0.7680048623313954,0.9021282639725078
ENSG00000180083,0.4044811267520527,0.36187512220452756
ENSG00000062598,0.8737880834644012,0.7343403433618527
ENSG00000198959,0.08515129527128266,0.1933571031435948
ENSG00000042062,0.601628532649923,0.7233960893795865
ENSG00000158480,0.987080528902393,0.9809669993013709
ENSG00000101447,0.2536455222441506,0.2259248162372666
ENSG00000197496,0.0970660243158589,0.15332451935349833
ENSG00000158445,0.06821682769429244,0.03700896661378667
ENSG00000124249,0.6729498174325013,0.474031831852496
ENSG00000124226,0.7894035420058304,0.931807015580665
ENSG00000080189,0.8290327604494705,0.8796067216229888
ENSG00000088298,0.50789426411432,0.5027848141139981
ENSG00000124151,0.724884834662256,0.9839924837492405
ENSG00000124126,0.4645427521233917,0.7404224171533518
ENSG00000124212,0.09426376073046464,0.11698126602956056
