Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.8170442151889872,0.3969126329585311
ENSG00000198692,0.7910550873405527,0.24886135844977253
ENSG00000236424,1.2312691284941965e-24,0.5787244171657447
ENSG00000258992,0.27343735959022725,0.5543310380788442
ENSG00000012817,0.8748285483650178,0.02142260273896294
ENSG00000184895,0.6660360486250143,0.3083220493502862
ENSG00000129824,0.22933675867117737,0.038367203635657134
ENSG00000067646,0.16737053069154473,0.16075642409638333
ENSG00000067048,0.44978119985465626,0.4041809786837567
ENSG00000183878,0.0714882287772801,0.1066182170340318
ENSG00000154620,0.5444909517808985,0.17550802138681826
ENSG00000129864,0.8475677789104898,2.7087640975421745e-71
ENSG00000168757,0.41950095380162367,0.7401020132708898
ENSG00000229549,1.0587229993200488e-63,1.4009361029479723e-13
ENSG00000228927,0.5407770505063876,0.6194932416641501
ENSG00000165246,0.8249795835239595,0.3945738986366575
ENSG00000129862,0.8815496380166888,0.3767780900094988
ENSG00000233803,0.4749718966159673,0.893864135780878
ENSG00000238074,0.2199568099945003,0.49306913131518093
ENSG00000101282,0.9649260419225879,0.6429951117537931
ENSG00000089012,0.9491269762028316,0.2716773954252584
ENSG00000171984,0.44291947050118063,0.654368978083347
ENSG00000125827,0.9482714637560395,0.7589405032759367
ENSG00000149346,0.9669973291724229,0.7749542252199753
ENSG00000125845,0.9710407223456812,0.8347157305805688
ENSG00000125898,0.2971445173495615,0.0512818813004404
ENSG00000125788,4.327460345757748e-68,7.680192326390663e-55
ENSG00000132640,0.7346269960428236,0.5461779203858145
ENSG00000089063,0.6268004700804701,0.9356679259940515
ENSG00000088876,0.4832999265073995,0.6676280765081979
ENSG00000284776,0.26912240550546734,0.7918334408273169
ENSG00000101463,0.648963616339209,0.854362691978358
ENSG00000088930,0.6190037700601572,0.7639595866544424
ENSG00000125870,0.9960858985952763,0.5599210787044157
ENSG00000077984,0.4443328538968486,0.6606563011984
ENSG00000101474,0.817758750618781,0.5649280828071201
ENSG00000125864,0.39049320786059494,0.8026259272782422
ENSG00000170369,0.21978120931273012,0.5597946891497723
ENSG00000125868,0.2961994487597395,0.4099650744785095
ENSG00000125834,0.5333243658694597,0.6932605455608845
ENSG00000198646,0.8794510811829361,0.8787282945858408
ENSG00000172296,0.9156434020940909,0.8712722572792926
ENSG00000131069,0.8309804606774074,0.40861872065156957
ENSG00000078804,0.44326589913551306,0.3896267211400001
ENSG00000101384,0.04487048327892738,0.22533658130736423
ENSG00000089057,0.239979769770099,0.40935007905471366
ENSG00000101435,0.45613489487137926,0.8374216380999595
ENSG00000089123,0.990012020410467,0.48725685391364637
ENSG00000132792,0.9642803004419244,0.41416786625590796
ENSG00000149639,0.7634236287023913,0.3724036931572544
ENSG00000101445,0.24142180758206064,0.308166330679608
ENSG00000149633,0.708779182583652,0.7346900869768301
ENSG00000101452,0.7268265928695881,0.8075921636878831
ENSG00000124191,0.40116932335679967,0.7726526190157352
ENSG00000064655,0.3101703012992819,0.3463066839935557
ENSG00000062598,0.657584283421865,0.540002218387019
ENSG00000198959,0.058685645572089294,0.19078355314099227
ENSG00000042062,0.6653715503497065,0.2934423904828433
ENSG00000158480,0.3872493186368011,0.6621239815075634
ENSG00000101447,0.21697969898836056,0.7399781765390221
ENSG00000197496,0.4992811999261162,0.5153461989485222
ENSG00000124226,0.42870059639432656,0.37608690707360015
ENSG00000080189,0.33451194526510025,0.30944103749935536
ENSG00000088298,0.3267558628537424,0.8424565370726482
ENSG00000124151,0.1698361902827776,0.27775156340712437
ENSG00000124126,0.8190805119208395,0.677812166682134
ENSG00000124212,0.17619625409162504,0.39288730911599257
ENSG00000182621,0.6045995704044338,0.32156204042467496
ENSG00000054793,0.32599098905290486,0.605964077081439
ENSG00000125970,0.11886956920448902,0.32659726949904666
ENSG00000124216,0.30221622632134393,0.2691883585774441
ENSG00000101194,0.14305660948502075,0.42152294690343917
ENSG00000132825,0.24428032382473341,0.40021503060100383
ENSG00000101132,0.21960574350928097,0.6118458948699375
ENSG00000101182,0.0600220356700196,0.24567753847269042
ENSG00000197586,0.08240747203857898,0.171142165352954
ENSG00000101439,0.5783870859291218,0.9447377447344941
ENSG00000101193,0.17971303829490987,0.5321370080191388
ENSG00000124225,0.2073296119868623,0.32709334916701216
ENSG00000101365,0.14581255725064948,0.3834174539344132
ENSG00000124164,0.39649654268013024,0.525385614862509
ENSG00000182463,0.5537094080972098,0.8049204097132217
ENSG00000132821,0.11906963187583063,0.19820490645675948
ENSG00000125977,0.23433651631952254,0.028411685785148393
ENSG00000203883,0.3770865027970506,0.628916166001773
ENSG00000154930,0.41212910411382975,0.4700794631498538
ENSG00000101134,0.543892132199721,0.9969741459661131
ENSG00000158470,0.5403601998517382,0.821609501647571
ENSG00000020256,0.23624773757780873,0.3403820579952718
ENSG00000101115,0.2734481719598173,0.691152747339947
ENSG00000101144,0.43459844189010066,0.9149606171805729
ENSG00000101407,0.18893713621750652,0.6592314785943161
ENSG00000101079,0.43815558542196675,0.6669044911521356
ENSG00000171858,0.8523965254672595,0.3763502538899577
ENSG00000087510,0.48505559216752914,0.666090284256174
ENSG00000184402,0.3561997940263788,0.32745813148000974
ENSG00000101361,0.47121097518987176,0.8373281000207734
ENSG00000101096,0.7743566243156823,0.5192235751774315
ENSG00000196074,0.3612067916320022,0.8484992506402498
ENSG00000130702,0.09395272462736082,0.19467062519081083
ENSG00000149657,0.49376577299240465,0.4775237403798702
ENSG00000087495,0.6682477918793188,0.9462474680213298
ENSG00000171703,0.9984227742060828,0.9910125389833021
ENSG00000130700,0.47481505901524046,0.6354297874321826
ENSG00000129988,0.5035037759303114,0.6472926363794635
ENSG00000196227,0.4709870377246458,0.38350317957465674
ENSG00000080839,0.6859368665443093,0.9767979466733683
ENSG00000124209,0.21573163734845918,0.28953664524573264
ENSG00000124205,0.1238197798609359,0.2666308152454404
ENSG00000101413,0.693461181624585,0.9844697531661879
ENSG00000130706,0.8137806213825006,0.7391762486257918
ENSG00000025293,0.25034397226494304,0.5451066962407849
ENSG00000131067,0.6224063986134116,0.5788953849676555
ENSG00000124145,0.5037407749517435,0.8623683541692001
ENSG00000204070,0.7008370406820275,0.7251495358505096
ENSG00000124222,0.2360666095344705,0.14684079946780745
ENSG00000215440,0.23713408354968868,0.48119975857611197
ENSG00000101158,0.38786915622576656,0.6465550438148795
ENSG00000124172,0.47286623909406833,0.9801286577733084
ENSG00000101166,0.306805674613511,0.9681963177612143
ENSG00000244462,0.3945248328500849,0.43120218843828717
ENSG00000197296,0.8631329641381621,0.7604227654418476
ENSG00000124120,0.9495793692178501,0.8859861752006489
ENSG00000132824,0.28351631396778987,0.6593178827461539
ENSG00000168734,0.12075626513735324,0.2889423141773426
ENSG00000101342,0.1605358687099546,0.3000501582252356
ENSG00000132823,0.9895213512862342,0.8379996346014268
ENSG00000149596,0.9546737958709984,0.6460024819174901
ENSG00000124193,0.6831479058835783,0.6818634260448134
ENSG00000101052,0.6901638700226638,0.6617252946792314
ENSG00000101057,0.2491641325947713,0.4578726981497603
ENSG00000101307,0.20197027682009241,0.33022536646644024
ENSG00000271303,0.881646270751526,0.975347701560559
ENSG00000125821,0.8021275016499173,0.48550742184795515
ENSG00000130703,0.3653607762043123,0.27948714791103235
ENSG00000101098,0.5656367598987535,0.5385371134431265
ENSG00000149658,0.041429315831015716,0.18356375477085815
ENSG00000101197,0.5937227866665769,0.5724832449299166
ENSG00000101198,0.27486481016775616,0.9861280007442133
ENSG00000101199,0.15463924699664,0.35317738710864677
ENSG00000125863,0.6762243815552174,0.8966768809742957
ENSG00000285508,0.8569158215825706,0.9038196750223834
ENSG00000285723,0.9797581113438295,0.7249827924822316
ENSG00000125534,0.5927746018091788,0.6048857534864029
ENSG00000125531,0.9956320132955342,0.7597196639156043
ENSG00000088356,0.4054307140379326,0.4692025257491834
ENSG00000101331,0.5260635389408885,0.6302947250150428
ENSG00000126003,0.36128666587763236,0.381913284855219
ENSG00000101367,0.3016511349459872,0.8268505973977597
ENSG00000101000,0.6933431135965487,0.3913667392020893
ENSG00000126005,0.5096495523017972,0.37261142600549957
ENSG00000125966,0.2109943436263364,0.32485610346859267
ENSG00000198053,0.5295605651995229,0.36563318846147896
ENSG00000149636,0.3421746600519771,0.24291798383947144
ENSG00000130584,0.0898337784969413,0.24705726146696488
ENSG00000197818,0.4922869724575549,0.48569099373722113
ENSG00000124194,0.7408005109967845,0.9378784204418531
ENSG00000101335,0.44937508637926904,0.7004353755458661
ENSG00000118707,0.7259944969453898,0.4563318930105974
ENSG00000259399,0.8862659770502532,0.4303556410162147
ENSG00000101082,0.5588748311554754,0.5512866568392842
ENSG00000125901,0.21031882463530105,0.49138709353627574
ENSG00000101405,0.4446828944644815,0.0215951195979036
ENSG00000185019,0.8315454172548925,0.7243125884438062
ENSG00000198171,0.29933378439944647,0.8825576773929591
ENSG00000125877,0.4118534224735041,0.7855680916522647
ENSG00000125968,0.11721450473692434,0.5510363589014824
ENSG00000131055,0.8746779563654336,0.44532301423767295
ENSG00000088325,0.36885824895149244,0.7649797150931064
ENSG00000179772,0.7511615630534736,0.977023590338317
ENSG00000171552,0.3316802194022659,0.8130034286079479
ENSG00000088970,0.7959752839300395,0.6124855850234396
ENSG00000125850,0.04921459023686269,9.632216338605886e-144
ENSG00000125871,0.08342716143494232,0.17143369533201813
ENSG00000232838,0.7108809222725914,0.4832461117303024
ENSG00000125869,0.3126553881191465,0.12971321938187771
ENSG00000125818,0.6711036998399569,0.9291087665645335
ENSG00000101298,0.8355925664241968,0.7770365448870162
ENSG00000125775,0.8181931871718191,0.9805113845293258
ENSG00000196209,0.33804228478623227,0.163699302042908
ENSG00000124104,0.6037240564766861,0.6355661989710913
ENSG00000132801,0.11926327348325666,0.1279709220051315
ENSG00000100979,0.5294207621596291,0.8576800383533232
ENSG00000100982,0.8118637273056131,0.9349895407011026
ENSG00000198026,0.43216387930215494,0.36499496394437225
ENSG00000100985,0.5057420042162994,0.46316814566351683
ENSG00000088832,0.9914561891311772,0.6566730565505761
ENSG00000088836,0.758158804253462,0.5151628362757732
ENSG00000125967,0.37811337025836256,0.8800385335891937
ENSG00000101412,0.8421475867710454,0.7793958534879313
ENSG00000101417,0.17750625432503864,0.15170625708710334
ENSG00000101421,0.15206233649088582,0.28547141923134167
ENSG00000242372,0.041255585874445236,0.25454743840056543
ENSG00000132646,0.5968333224895184,0.6565158202329808
ENSG00000101290,0.6848250619239129,0.862285312242163
ENSG00000089006,0.19090050832224498,0.44079279633100976
ENSG00000149600,0.13426573139346312,0.6230904090266933
ENSG00000125787,0.4443977763551408,0.7014192681001672
ENSG00000101160,0.26932082107045957,0.5317831109792323
ENSG00000198900,0.11460563441084454,0.36990736424755366
ENSG00000171867,0.2529757036748213,0.47139018644362785
ENSG00000171864,0.7749216049682358,0.44639153319973146
ENSG00000101265,0.5448519849383819,0.7009739094170939
ENSG00000244005,0.2199754745902053,0.4546459514073945
ENSG00000125995,0.15898554708783721,0.1972544241115535
ENSG00000131051,0.7658297581807232,0.704321490206258
ENSG00000214078,0.2299726084782142,0.5116869024502986
ENSG00000185052,0.7134421697077203,0.8157446489493729
ENSG00000204103,0.1431093328649294,0.05320241562808977
ENSG00000132793,0.38533148114988347,0.9831915159596997
ENSG00000124177,0.7130471798951168,0.6955405530839006
ENSG00000124107,0.5499825143022952,0.6047212153659671
ENSG00000101443,0.8317429042923264,0.6999822820436586
ENSG00000101448,0.10413549321715998,0.2517430738181681
ENSG00000101457,0.2028044430332833,0.38490783450577803
ENSG00000175063,0.04832315723087185,0.0766034721282426
ENSG00000101470,0.21145840598804647,0.4549072912333896
ENSG00000168612,0.7998589165893794,0.47178324076344147
ENSG00000124207,0.318415275634083,0.6469622905243039
ENSG00000124214,0.1564691942337495,0.5169109996633007
ENSG00000101187,0.048574913516815275,0.09565281145992949
ENSG00000101189,0.21261792609947566,0.4370354154710503
ENSG00000060491,0.9190200911525185,0.5103691627299178
ENSG00000092758,0.07323771644902438,0.11028432925236827
ENSG00000101190,0.5355333166653973,0.6656225885924287
ENSG00000101191,0.1817627279685161,0.32046320248202315
ENSG00000132622,0.49146491433397244,0.7666597609593626
ENSG00000101220,0.4549122979223702,0.5459050409034498
ENSG00000125817,0.9808777135049601,0.7906434388440717
ENSG00000125843,0.46421020701925153,0.6006362863759669
ENSG00000088888,0.7905232581952513,0.8997976326951427
