Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000114374,0.2612689918599143,0.3364089903350178
ENSG00000198692,0.25650249038465556,0.34718234177322504
ENSG00000012817,0.24919134657034603,0.32966214545872463
ENSG00000129824,0.21324025031369345,0.2917546489227966
ENSG00000067646,0.17537620246571264,0.20328368159748605
ENSG00000067048,0.21220385939915207,0.3078622175205864
ENSG00000183878,0.29169976596721137,0.345110765864476
ENSG00000101282,0.1699186574816506,0.09231433728117151
ENSG00000089012,0.25032658819479164,0.33220775104236905
ENSG00000171984,0.15089883387851075,0.012121445500188423
ENSG00000125827,0.041765654464666555,0.04128508294496634
ENSG00000149346,0.024389461083702445,0.009909971431322075
ENSG00000125845,0.12316756477023301,0.027997959738903087
ENSG00000125898,0.6170872115472157,0.8674174896914595
ENSG00000132640,0.2756684372611007,0.09525033382137037
ENSG00000089063,0.03392676335939776,0.008846568728813916
ENSG00000125851,0.7432991694185935,0.6731304375345362
ENSG00000088876,0.0069544092260923375,0.0034175260392840796
ENSG00000101230,0.1209680301600751,0.21283099568726752
ENSG00000170367,0.7240520467845561,0.624722761277296
ENSG00000284776,0.796928625846289,0.8030039021383978
ENSG00000101463,0.000288806688613099,9.898398823668228e-05
ENSG00000088930,0.08896345470096492,0.04415486084865146
ENSG00000125870,0.7039531725937007,0.3802910819315217
ENSG00000077984,0.9501969052008972,0.9837800912628383
ENSG00000101474,0.11662092151047036,0.042733532316047616
ENSG00000125864,0.026990799076752052,0.0067531314754133934
ENSG00000149435,0.530421268476718,0.3243653822147657
ENSG00000170369,0.7377615451609816,0.7202299537559762
ENSG00000125868,0.1063009158905343,0.06075651161319093
ENSG00000125834,0.05022864252451037,0.06092332201751513
ENSG00000198646,0.10372927134208382,0.07132685356835652
ENSG00000172296,0.61643541399181,0.34587547055788925
ENSG00000131069,0.1575896868254836,0.07547582247264263
ENSG00000078804,0.05684314888524544,0.013633639309843478
ENSG00000101384,0.9179165354042563,0.5347384921256304
ENSG00000089057,0.028473296139950692,0.012990412683509261
ENSG00000089123,0.03199105557291692,0.005869889349288476
ENSG00000132792,0.8228409456538949,0.6722165315084226
ENSG00000149639,0.12860776203453625,0.059998340448585055
ENSG00000101445,0.8953266229017417,0.6892828865341616
ENSG00000149633,0.13314835437127134,0.23531149289024714
ENSG00000101452,0.061226038430395174,0.02627106643285403
ENSG00000124191,0.11789824083279232,0.12364330547845359
ENSG00000064655,0.015516319368153036,0.02969973030999002
ENSG00000062598,0.792681988954087,0.9604246647786144
ENSG00000198959,0.7945957271334967,0.9409350358746817
ENSG00000158480,0.043068385415120855,0.004386758045087239
ENSG00000197496,0.4846377306367593,0.14586532011309003
ENSG00000124249,0.30238177999124144,0.1508187477495383
ENSG00000149654,0.36569153277296185,0.16947968251350898
ENSG00000124226,0.7755173909774912,0.6568023712752604
ENSG00000080189,0.6692562471448789,0.5060387424854567
ENSG00000088298,0.5510905577857486,0.41323968994803983
ENSG00000124151,0.39730527041205443,0.16071902833268067
ENSG00000124126,0.4581047276574821,0.28847302755012955
ENSG00000124212,0.0052880391574678266,0.12666071657884173
ENSG00000182621,0.2520539859751204,0.1399700934266785
ENSG00000054803,0.1399492971475419,0.1499054752338558
ENSG00000054793,0.18357367903575728,0.053862113638178256
ENSG00000125970,0.9965616619289713,0.5844394419771176
ENSG00000124216,1.4990155425217627e-05,4.1457868801374735e-05
ENSG00000101194,0.7102985012209793,0.48650160205979454
ENSG00000132825,0.8109125425513277,0.7541939525585502
ENSG00000101132,0.19458858501887075,0.11790404305234607
ENSG00000101182,0.9049238344583337,0.676901130867763
ENSG00000197586,0.42299999741416294,0.25356599251743966
ENSG00000130701,0.038017718948172886,0.007371232652365686
ENSG00000101439,0.8236468246880895,0.8714596535518172
