Gene,cox_p_staged_patients,cox_p_stage_strata
ENSG00000101282,0.8781773329959215,0.5311293901390142
ENSG00000089012,0.82025960694766,0.6487599502389791
ENSG00000171984,0.34151919621135257,0.6152810043626723
ENSG00000125827,0.07784037681736919,0.5020668113669499
ENSG00000149346,0.06709333736359345,0.032040661887099704
ENSG00000125845,0.8051173513962606,0.45446833778433404
ENSG00000125898,0.09496347294067774,0.2910528479242332
ENSG00000173404,0.030870863611145036,0.012655524595710765
ENSG00000132640,0.14259349098224378,0.13880675695995073
ENSG00000089063,0.3798017718611484,0.31755302061795415
ENSG00000088876,0.1272919441649791,0.571334052694759
ENSG00000101230,0.3230359465619236,0.32060997525109747
ENSG00000284776,0.7609610265606443,0.8199275148496534
ENSG00000101463,0.5228300507345625,0.35042811730249246
ENSG00000088930,0.5832425579367086,0.5498591038245995
ENSG00000286022,0.7402661030031801,0.7704430502365354
ENSG00000125870,0.8743902155600803,0.9182135026431467
ENSG00000077984,0.9143108091731862,0.9391177122475445
ENSG00000101474,0.940337068024374,0.703395472248756
ENSG00000125864,0.25981172250681644,0.1641914826772567
ENSG00000170369,0.7534238148364598,0.2671974166991525
ENSG00000125868,0.5197037070079511,0.4526260161469262
ENSG00000125834,0.08319413451144715,0.059985699437422046
ENSG00000198646,0.43364142597740707,0.42049704981322134
ENSG00000172296,0.9396575847321151,0.9089194932534663
ENSG00000131069,0.4404312286102774,0.8974688795735624
ENSG00000078804,0.15551543882986224,0.11811507368727867
ENSG00000101384,0.360946295405537,0.9709585408454667
ENSG00000089057,0.7892530345804007,0.6403981807292762
ENSG00000089123,0.6554217557529974,0.10641627235615041
ENSG00000132792,0.9010144573243489,0.9328922194569439
ENSG00000149639,0.1199233355015864,0.21700791316837517
ENSG00000101445,0.20100901098233168,0.2479312316588782
ENSG00000101452,0.47418564894927473,0.1333685940897229
ENSG00000124191,0.33079657133218376,0.9949218222239107
ENSG00000064655,0.14781936798136722,0.6812383097828125
ENSG00000062598,0.7794537687434635,0.8928289482378129
ENSG00000198959,0.8847309495276144,0.9492730314793316
ENSG00000158480,0.7722638652649767,0.5889303644692121
ENSG00000101447,0.6151597613187945,0.6587447509433106
ENSG00000197496,0.9067613162235326,0.7578905653418525
ENSG00000124249,0.9044676421363927,0.8520433282278463
ENSG00000124226,0.26811297074166496,0.46097724623034697
ENSG00000080189,0.9254806827311183,0.7306095274181079
ENSG00000198768,0.9788535635253794,0.34862573286282006
ENSG00000088298,0.5181941874636957,0.6182637324981268
ENSG00000124151,0.2374572506232177,0.5208695293928276
ENSG00000124126,0.5784772379693084,0.7625581761748125
ENSG00000124212,0.5989499076273241,0.7137892270556115
ENSG00000182621,0.7584469598319588,0.37928204958410405
ENSG00000054793,0.36878193435926154,0.2903079534599498
ENSG00000125970,0.7477650606614148,0.46976041667507595
ENSG00000089101,0.44621965836602917,0.6753080566856531
ENSG00000124216,0.37336578222509287,0.37529943181777436
ENSG00000101194,0.06468606252043231,0.40039625711475546
ENSG00000132825,0.4803224880195994,0.7186126429838525
ENSG00000101132,0.23573059532060445,0.7297104365620433
ENSG00000101182,0.9838636379626797,0.8128058279927733
ENSG00000197586,0.502699331252586,0.3571576382747784
ENSG00000130701,0.42176614121603584,0.24361457203958845
ENSG00000101439,0.18524522294634707,0.4924801682364288
ENSG00000101193,0.7319473498686373,0.5158452507403208
ENSG00000124225,0.7476267801267463,0.5657725862529271
ENSG00000101365,0.32958477020882226,0.23261029723567134
ENSG00000124164,0.9107541285043447,0.8180097004827465
ENSG00000182463,0.21417298888850458,0.10752317569515897
ENSG00000132821,0.2881154539710389,0.16857135945727664
ENSG00000125977,0.46486950805675475,0.8253090162326926
ENSG00000203883,0.9162964900533521,0.5134314247351938
ENSG00000154930,0.8938151011725666,0.5740176585925825
