cohort,stage_source,patients,events,patients_staged,events_staged,stage_counts,cox_all,cox_staged_patients,cox_stage_strata,labelled,labelled_keep_unadj,labelled_keep_stage,patients_stage_grade,cox_sg_patients,cox_stage_grade_strata
BLCA,ajcc,169,169,168,168,II:32 III:55 IV:81,5,5,3,511,5,3,,,
BRCA,ajcc,1020,140,1000,132,I:174 II:574 III:233 IV:19,5,7,34,724,7,32,,,
CESC,clinical,283,67,277,67,I:154 II:63 III:39 IV:21,55,61,247,927,57,187,250.0,88.0,933.0
COAD,ajcc,254,61,244,56,I:39 II:98 III:72 IV:35,0,0,1,336,0,0,,,
HNSC,ajcc,492,212,425,182,I:24 II:69 III:76 IV:256,170,77,108,893,75,100,409.0,2.0,2.0
KICH,ajcc,64,9,64,9,I:19 II:25 III:14 IV:6,154,154,4,1284,132,0,,,
KIRC,ajcc,521,171,518,170,I:259 II:56 III:122 IV:81,7853,7806,4203,7563,6875,3960,510.0,8085.0,2407.0
KIRP,ajcc,282,44,252,39,I:166 II:20 III:51 IV:15,926,805,0,1811,694,0,,,
LIHC,ajcc,362,129,338,115,I:169 II:84 III:81 IV:4,3482,2377,1117,3449,2092,1043,336.0,2227.0,377.0
LUAD,ajcc,497,180,490,178,I:267 II:118 III:80 IV:25,750,811,4,1507,674,4,,,
LUSC,ajcc,489,210,485,208,I:239 II:156 III:83 IV:7,0,0,0,286,0,0,,,
OV,clinical,348,216,345,215,I:1 II:19 III:270 IV:55,0,0,0,362,0,0,336.0,0.0,0.0
PAAD,ajcc,176,92,173,92,I:21 II:145 III:3 IV:4,2380,1711,5,1486,941,5,171.0,1771.0,0.0
READ,ajcc,88,16,79,13,I:10 II:25 III:32 IV:12,0,0,0,567,0,0,,,
SKCM,ajcc,98,28,94,26,I:2 II:62 III:27 IV:3,0,0,0,253,0,0,,,
STAD,ajcc,345,140,331,130,I:45 II:109 III:143 IV:34,0,0,0,335,0,0,323.0,0.0,0.0
TGCT,ajcc,133,4,81,2,I:55 II:12 III:14,22,116,168,22,0,3,,,
THCA,ajcc,495,16,493,16,I:278 II:52 III:110 IV:53,0,0,0,397,0,0,,,
UCEC,clinical,175,32,175,32,I:96 II:24 III:45 IV:10,1,1,1,227,0,0,171.0,0.0,0.0
