cohort,events,strata,permutations,fpr001_stage,fpr001_unadj,bh_any_stage,bh_max_stage,bh_any_unadj,bh_max_unadj
BRCA,132,4,20,0.00135,0.00094,0.05,215,0.0,0
CESC,67,4,20,0.00069,0.00075,0.05,1,0.1,1
HNSC,182,4,20,0.00069,0.00077,0.0,0,0.0,0
KICH,9,4,20,0.00178,0.0013,0.95,141,1.0,8
KIRC,170,4,20,0.00053,0.00069,0.0,0,0.05,1
KIRP,39,4,20,0.00086,0.00074,0.2,1,0.2,5
LIHC,115,4,20,0.00109,0.00027,0.05,1,0.0,0
LUAD,178,4,20,0.00092,0.00052,0.05,1,0.0,0
PAAD,92,4,20,0.00211,0.00124,0.05,735,0.05,2
TGCT,2,3,20,0.09353,0.03878,1.0,4619,1.0,6123
