cohort,outcome,list_size,base_rate,hpa_list,cox_list,cox_stage_list,hpa_lift,cox_lift
BRCA,raw,571,0.01,0.0193,0.021,0.0263,1.9,2.1
BRCA,corrected,571,0.001,0.0035,0.0035,0.0035,3.4,3.4
COAD,raw,334,0.0108,0.0269,0.0359,0.0329,2.5,3.3
COAD,corrected,334,0.0012,0.0,0.0,0.003,0.0,0.0
GBM,raw,364,0.0579,0.1923,0.294,,3.3,5.1
GBM,corrected,364,0.0128,0.0467,0.1099,,3.6,8.6
KIRC,raw,7484,0.0829,0.2555,0.2599,0.2349,3.1,3.1
KIRC,corrected,7484,0.0187,0.0628,0.0635,0.0585,3.3,3.4
LIHC,raw,3061,0.084,0.3453,0.3417,0.3518,4.1,4.1
LIHC,corrected,3061,0.0293,0.1516,0.1473,0.1539,5.2,5.0
LUAD,raw,1462,0.0286,0.143,0.156,0.13,5.0,5.5
LUAD,corrected,1462,0.0043,0.0233,0.0321,0.0246,5.4,7.4
LUSC,raw,280,0.0097,0.0179,0.0321,0.0179,1.9,3.3
LUSC,corrected,280,0.001,0.0036,0.0071,0.0036,3.8,7.4
OV,raw,333,0.0218,0.0541,0.0541,0.045,2.5,2.5
OV,corrected,333,0.0036,0.009,0.012,0.009,2.5,3.3
PAAD,raw,1404,0.0374,0.0983,0.0855,0.0997,2.6,2.3
PAAD,corrected,1404,0.0054,0.0228,0.0185,0.0235,4.3,3.4
READ,raw,566,0.017,0.0265,0.0318,0.0283,1.6,1.9
READ,corrected,566,0.0024,0.0,0.0035,0.0053,0.0,1.5
